user_id,cat_l3_code,购买次数,平均复购周期天,距今天数,复购紧迫度
0007,201404,1,,1,
0007,210501,1,,35,
0007,220208,1,,35,
0007,220512,1,,35,
0007,220608,1,,1,
0007,341206,1,,119,
0008,100101,2,55.0,37,0.673
0008,100104,1,,43,
0008,100402,1,,15,
0008,120102,3,15.0,15,1.0
0008,120104,3,39.5,37,0.937
0008,120106,1,,99,
0008,120303,1,,119,
0008,120309,2,54.0,45,0.833
0008,130801,1,,119,
0008,130803,1,,119,
0008,150801,1,,15,
0008,151503,1,,99,
0008,151801,1,,119,
0008,151803,1,,119,
0008,152101,1,,15,
0008,200807,1,,15,
0008,220205,1,,45,
0008,220208,1,,45,
0008,230102,1,,32,
0008,230502,1,,32,
0008,301301,1,,32,
0008,301608,1,,92,
0009,150503,1,,119,
0009,220111,1,,119,
0009,220302,1,,119,
0009,220601,1,,119,
0009,230399,1,,119,
0009,300302,1,,107,
0010,120101,3,25.0,50,2.0
0010,120102,2,44.0,56,1.273
0010,120105,3,34.5,50,1.449
0010,150503,1,,119,
0010,152101,1,,119,
0010,200602,2,44.0,56,1.273
0010,201201,1,,56,
0010,201401,1,,100,
0010,201404,1,,119,
0010,201405,1,,50,
0010,220104,1,,50,
0010,220111,1,,119,
0010,220201,1,,119,
0010,300602,1,,119,
0010,301801,1,,119,
0010,312601,1,,100,
0010,332303,1,,56,
0010,341506,1,,100,
0011,120102,1,,119,
0011,120104,1,,119,
0011,120306,1,,119,
0011,130201,1,,119,
0012,100101,6,17.0,28,1.647
0012,100104,4,6.0,99,16.5
0012,100105,1,,114,
0012,100401,2,2.0,46,23.0
0012,100404,1,,28,
0012,100502,1,,36,
0012,110104,1,,2,
0012,110203,1,,40,
0012,120101,18,6.941,1,0.144
0012,120102,11,11.6,2,0.172
0012,120104,12,10.364,0,0.0
0012,120105,8,15.286,2,0.131
0012,120106,5,15.0,48,3.2
0012,120107,1,,98,
0012,120109,1,,0,
0012,120302,2,39.0,1,0.026
0012,120303,2,15.0,98,6.533
0012,120310,1,,72,
0012,120313,10,4.778,28,5.86
0012,120501,2,71.0,27,0.38
0012,130101,3,15.5,28,1.806
0012,130603,3,9.0,91,10.111
0012,130801,8,10.571,45,4.257
0012,130803,2,33.0,25,0.758
0012,151803,1,,44,
0012,152101,6,18.2,28,1.538
0012,152104,2,16.0,36,2.25
0012,200199,1,,50,
0012,200599,1,,99,
0012,200601,1,,99,
0012,200602,1,,115,
0012,200603,1,,113,
0012,200607,3,32.5,45,1.385
0012,200701,1,,115,
0012,200704,1,,118,
0012,200705,1,,116,
0012,200706,2,51.0,68,1.333
0012,200709,2,18.0,99,5.5
0012,200803,1,,108,
0012,201001,1,,115,
0012,201102,1,,28,
0012,201103,3,35.5,47,1.324
0012,201499,2,54.0,56,1.037
0012,220105,1,,24,
0012,220106,1,,71,
0012,220301,2,2.0,112,56.0
0012,220306,1,,72,
0012,220405,3,12.0,92,7.667
0012,230901,1,,68,
0012,231007,1,,68,
0012,231099,1,,68,
0012,300204,1,,94,
0012,301004,1,,38,
0012,301603,1,,116,
0012,301608,1,,119,
0012,340205,1,,73,
0012,340301,1,,68,
0012,340701,1,,71,
0012,341204,1,,1,
0013,100101,1,,37,
0013,120101,1,,23,
0013,120102,1,,34,
0013,120104,2,23.0,11,0.478
0013,120301,1,,51,
0013,120302,2,72.0,37,0.514
0013,120303,1,,37,
0013,120307,4,26.0,28,1.077
0013,120309,1,,114,
0013,120313,1,,23,
0013,130101,4,37.333,7,0.187
0013,150505,1,,23,
0013,150802,1,,23,
0013,151701,1,,28,
0013,151804,1,,5,
0013,152101,2,96.0,18,0.187
0013,200601,1,,5,
0013,201101,1,,28,
0013,201103,2,24.0,4,0.167
0013,201111,1,,28,
0013,201401,1,,18,
0013,201405,1,,23,
0013,210301,1,,37,
0013,220112,1,,5,
0013,220115,1,,106,
0013,220205,1,,106,
0013,220208,1,,106,
0013,220502,1,,37,
0013,220605,1,,5,
0013,220801,1,,37,
0013,221202,1,,37,
0013,230406,1,,4,
0013,230501,1,,61,
0013,230502,1,,33,
0013,230901,1,,19,
0013,231103,1,,11,
0013,300102,1,,11,
0013,300704,1,,114,
0013,301301,3,50.5,5,0.099
0013,301302,1,,5,
0013,301303,1,,11,
0013,301608,1,,5,
0013,310204,1,,114,
0013,311901,1,,114,
0013,311902,1,,106,
0013,311903,2,8.0,106,13.25
0013,312804,1,,51,
0014,120101,2,5.0,104,20.8
0014,120102,3,7.5,104,13.867
0014,120104,1,,104,
0014,120105,1,,104,
0014,120302,3,9.5,90,9.474
0014,120307,1,,99,
0014,151802,1,,90,
0014,200904,1,,119,
0014,201111,1,,119,
0014,220502,1,,119,
0015,100404,1,,119,
0015,120104,1,,119,
0015,130101,1,,119,
0015,152101,1,,119,
0015,200602,1,,119,
0015,202501,1,,95,
0015,210503,1,,95,
0015,220906,1,,103,
0015,300604,1,,95,
0015,301603,1,,95,
0015,301607,1,,95,
0015,311809,1,,119,
0015,341501,1,,95,
0015,341502,1,,95,
0016,120102,1,,113,
0016,120106,1,,113,
0016,130101,1,,89,
0016,130201,1,,113,
0016,151904,1,,71,
0016,220102,1,,109,
0016,220112,1,,109,
0016,220601,1,,109,
0016,220702,1,,71,
0016,220799,1,,71,
0016,230302,1,,71,
0016,230304,1,,71,
0016,230502,1,,119,
0016,231601,1,,71,
0016,300802,1,,119,
0016,311902,1,,119,
0016,322701,1,,71,
0017,100404,1,,104,
0017,120101,1,,104,
0017,120102,7,10.333,57,5.516
0017,120103,1,,57,
0017,120104,3,4.5,104,23.111
0017,120301,1,,104,
0017,120307,1,,73,
0017,120313,1,,57,
0017,150101,1,,57,
0017,150103,1,,119,
0017,151701,2,26.0,73,2.808
0017,151803,1,,68,
0017,151806,4,13.333,79,5.925
0017,151903,1,,1,
0017,152101,3,20.0,73,3.65
0017,200301,1,,109,
0017,200505,1,,117,
0017,200601,1,,111,
0017,200608,1,,1,
0017,201101,1,,73,
0017,201102,2,68.0,5,0.074
0017,201103,1,,99,
0017,201201,1,,79,
0017,201302,1,,79,
0017,201405,1,,79,
0017,220107,3,6.0,99,16.5
0017,220110,5,11.5,73,6.348
0017,220204,1,,99,
0017,220205,4,26.0,1,0.038
0017,220208,7,12.0,45,3.75
0017,220299,3,11.0,57,5.182
0017,220301,1,,99,
0017,220306,1,,67,
0017,220405,1,,109,
0017,220607,1,,119,
0017,220901,3,22.0,73,3.318
0017,221004,1,,5,
0017,221005,1,,5,
0017,221099,1,,73,
0017,230201,1,,5,
0017,230309,1,,5,
0017,300206,1,,1,
0017,301303,1,,113,
0017,301603,2,108.0,5,0.046
0018,120102,1,,119,
0018,200701,1,,119,
0018,201302,1,,119,
0019,120105,1,,103,
0019,120106,1,,103,
0019,120201,1,,103,
0019,120302,1,,119,
0019,120309,1,,119,
0019,120313,1,,103,
0019,150504,2,103.0,0,0.0
0019,151805,1,,119,
0019,151813,1,,103,
0019,200201,1,,0,
0019,200501,1,,101,
0019,200508,1,,101,
0019,201102,1,,119,
0019,220107,1,,103,
0019,220205,1,,0,
0019,220499,1,,0,
0019,220513,1,,101,
0019,220701,1,,119,
0019,220901,1,,0,
0019,221002,1,,0,
0019,300801,1,,119,
0019,301004,1,,119,
0019,301603,1,,119,
0020,100101,1,,119,
0020,100103,1,,80,
0020,100104,1,,15,
0020,120101,9,13.875,8,0.577
0020,120102,4,23.667,48,2.028
0020,120103,1,,99,
0020,120104,1,,108,
0020,120105,1,,8,
0020,120106,3,49.5,15,0.303
0020,120204,1,,65,
0020,120205,1,,99,
0020,120302,1,,108,
0020,120303,1,,119,
0020,120306,1,,42,
0020,130101,1,,13,
0020,130801,4,31.667,13,0.411
0020,150101,1,,65,
0020,150501,1,,13,
0020,150802,3,28.5,42,1.474
0020,151802,1,,74,
0020,151904,1,,74,
0020,152103,1,,65,
0020,200202,1,,74,
0020,200303,1,,80,
0020,200701,1,,119,
0020,200902,1,,108,
0020,201401,1,,62,
0020,201403,1,,62,
0020,300206,1,,62,
0020,301301,1,,114,
0020,301602,1,,114,
0020,301603,1,,114,
0020,301801,2,108.0,6,0.056
0020,311903,1,,48,
0020,340202,2,2.0,6,3.0
0020,340901,1,,114,
0020,340903,2,56.0,6,0.107
0021,110107,1,,119,
0021,120101,3,57.5,4,0.07
0021,120102,1,,119,
0021,120104,3,57.5,4,0.07
0021,120201,1,,119,
0021,120301,1,,119,
0021,150501,1,,47,
0021,150509,1,,47,
0021,151503,1,,47,
0021,152101,2,43.0,4,0.093
0021,200102,1,,4,
0021,200104,1,,4,
0021,200105,1,,47,
0021,200399,1,,47,
0021,210704,1,,76,
0021,220102,1,,102,
0021,220111,1,,47,
0021,220208,1,,102,
0021,220399,1,,47,
0021,220699,1,,47,
0021,230601,1,,47,
0021,231404,1,,76,
0021,300604,1,,102,
0021,300801,1,,102,
0021,300802,1,,102,
0021,330105,1,,76,
0022,110302,1,,119,
0022,140301,1,,119,
0022,200705,1,,119,
0022,220401,1,,119,
0022,220513,1,,119,
0022,301603,1,,119,
0022,301606,1,,119,
0023,200202,1,,119,
0023,220299,1,,119,
0024,110107,3,47.5,15,0.316
0024,120101,6,15.0,44,2.933
0024,120102,15,6.214,12,1.931
0024,120103,7,15.833,15,0.947
0024,120104,5,13.0,47,3.615
0024,120105,3,20.5,18,0.878
0024,120106,2,16.0,83,5.187
0024,120107,1,,59,
0024,120109,3,28.5,6,0.211
0024,120201,3,44.0,31,0.705
0024,120204,2,16.0,83,5.187
0024,120303,9,12.375,12,0.97
0024,120307,5,17.0,49,2.882
0024,120309,1,,64,
0024,120313,5,4.75,40,8.421
0024,120501,1,,59,
0024,130201,1,,59,
0024,130801,2,27.0,83,3.074
0024,130803,6,15.8,40,2.532
0024,150101,1,,35,
0024,150102,1,,41,
0024,150105,2,35.0,41,1.171
0024,151701,1,,64,
0024,151703,1,,55,
0024,151804,1,,15,
0024,152101,6,11.0,55,5.0
0024,200906,1,,111,
0024,201102,1,,119,
0024,201106,3,31.0,57,1.839
0024,201111,4,28.0,35,1.25
0024,201306,1,,119,
0024,201401,2,70.0,35,0.5
0024,201405,1,,57,
0024,220102,1,,53,
0024,220106,1,,39,
0024,220199,4,15.667,17,1.085
0024,220201,1,,62,
0024,220205,1,,39,
0024,220208,1,,35,
0024,220299,7,16.833,18,1.069
0024,220302,1,,39,
0024,220304,1,,62,
0024,220305,1,,62,
0024,220399,3,7.0,39,5.571
0024,220499,1,,35,
0024,220502,3,23.5,64,2.723
0024,220503,1,,6,
0024,220513,2,53.0,63,1.189
0024,220599,1,,31,
0024,220607,2,21.0,62,2.952
0024,220802,1,,47,
0024,230703,1,,64,
0024,230704,2,4.0,111,27.75
0024,332302,1,,35,
0025,200603,1,,119,
0025,200608,1,,119,
0026,120101,1,,100,
0026,120102,1,,100,
0026,120301,1,,113,
0026,130101,1,,100,
0026,130603,1,,100,
0026,150305,1,,113,
0026,152101,2,13.0,100,7.692
0026,200501,1,,100,
0026,200606,1,,100,
0026,200607,1,,100,
0026,201404,1,,100,
0026,210107,1,,119,
0026,210501,1,,119,
0026,220205,1,,100,
0026,220302,1,,100,
0026,220306,1,,67,
0026,220513,1,,77,
0026,300602,1,,100,
0026,301603,1,,77,
0026,311704,1,,119,
0027,120102,1,,118,
0027,220405,1,,119,
0027,220607,1,,118,
0027,300202,1,,119,
0027,300602,1,,118,
0027,311907,1,,119,
0028,230604,1,,119,
0028,301802,1,,119,
0029,220901,1,,119,
0029,301802,1,,119,
0030,120301,1,,119,
0030,220906,1,,119,
0030,231601,1,,119,
0031,100101,3,36.0,36,1.0
0031,100104,1,,119,
0031,100402,1,,24,
0031,110106,1,,24,
0031,110201,1,,47,
0031,110302,1,,47,
0031,120101,6,22.8,5,0.219
0031,120102,3,36.0,36,1.0
0031,120104,3,11.0,36,3.273
0031,120105,2,24.0,23,0.958
0031,120106,6,19.0,24,1.263
0031,120109,1,,80,
0031,120201,3,36.0,47,1.306
0031,120204,1,,119,
0031,120205,2,95.0,24,0.253
0031,120303,1,,47,
0031,120306,1,,5,
0031,120313,1,,5,
0031,120501,2,11.0,108,9.818
0031,130603,1,,96,
0031,130801,1,,43,
0031,130803,2,22.0,36,1.636
0031,150202,1,,43,
0031,150302,1,,43,
0031,151099,1,,76,
0031,151501,1,,24,
0031,151503,2,95.0,24,0.253
0031,151701,1,,36,
0031,151799,1,,108,
0031,152101,5,18.25,23,1.26
0031,200201,1,,96,
0031,200501,1,,96,
0031,200601,1,,58,
0031,200706,1,,58,
0031,200805,1,,24,
0031,201107,1,,80,
0031,201111,1,,76,
0031,201303,2,95.0,24,0.253
0031,201306,1,,119,
0031,201499,2,31.0,5,0.161
0031,210402,1,,43,
0031,220205,1,,5,
0031,220208,4,25.0,5,0.2
0031,220299,1,,76,
0031,220302,1,,47,
0031,220304,1,,47,
0031,220399,1,,47,
0031,220402,1,,58,
0031,220405,1,,43,
0031,220513,2,76.0,43,0.566
0031,220603,1,,43,
0031,220604,1,,43,
0031,220607,1,,80,
0031,220699,2,37.0,43,1.162
0031,220801,1,,23,
0031,230901,1,,24,
0031,231201,1,,119,
0031,231301,1,,24,
0031,300206,1,,96,
0031,300403,1,,96,
0031,300604,1,,119,
0031,301303,1,,96,
0031,301304,1,,96,
0031,301606,1,,119,
0031,301608,1,,119,
0031,301801,1,,96,
0031,301802,1,,96,
0032,100102,1,,23,
0032,100104,2,66.0,18,0.273
0032,100402,3,30.5,23,0.754
0032,120101,8,12.429,19,1.529
0032,120102,13,6.917,19,2.747
0032,120104,13,7.25,19,2.621
0032,120105,6,16.6,23,1.386
0032,120106,6,16.6,19,1.145
0032,120201,2,79.0,23,0.291
0032,120301,2,34.0,60,1.765
0032,120303,1,,102,
0032,120307,1,,60,
0032,120309,1,,106,
0032,120313,4,27.667,23,0.831
0032,120501,2,10.0,42,4.2
0032,130801,2,4.0,23,5.75
0032,150504,1,,42,
0032,151802,1,,96,
0032,151805,2,15.0,92,6.133
0032,151806,6,14.6,23,1.575
0032,152101,3,9.5,83,8.737
0032,200101,1,,92,
0032,200201,2,10.0,42,4.2
0032,200501,2,76.0,27,0.355
0032,200506,1,,83,
0032,200706,1,,88,
0032,200709,1,,67,
0032,200902,1,,83,
0032,200905,2,23.0,83,3.609
0032,201104,1,,119,
0032,201301,1,,42,
0032,201401,1,,83,
0032,201405,1,,84,
0032,210301,1,,93,
0032,210506,1,,92,
0032,230604,2,41.0,52,1.268
0032,300602,1,,92,
0032,300604,1,,42,
0032,300701,1,,119,
0032,300801,5,8.75,84,9.6
0032,301301,1,,27,
0032,301603,4,28.0,19,0.679
0032,301802,1,,84,
0032,331908,1,,94,
0032,332102,1,,94,
0032,332205,1,,94,
0032,343107,1,,103,
0033,151805,1,,119,
0033,210107,1,,119,
0033,210111,1,,119,
0033,210501,1,,119,
0033,210503,1,,119,
0033,220101,1,,119,
0033,220102,1,,119,
0034,120101,8,9.0,56,6.222
0034,120102,2,13.0,68,5.231
0034,120104,3,25.5,68,2.667
0034,120105,1,,81,
0034,120109,1,,59,
0034,120201,1,,81,
0034,120301,3,18.5,81,4.378
0034,120302,1,,11,
0034,120303,2,63.0,56,0.889
0034,120306,4,18.667,12,0.643
0034,120309,3,20.0,34,1.7
0034,120313,2,18.0,16,0.889
0034,130101,1,,102,
0034,130801,2,15.0,87,5.8
0034,150101,3,32.5,36,1.108
0034,150502,1,,68,
0034,150504,1,,35,
0034,150505,2,26.0,74,2.846
0034,151199,1,,56,
0034,151701,1,,16,
0034,152101,4,12.667,81,6.395
0034,200201,2,60.0,11,0.183
0034,200399,2,3.0,37,12.333
0034,200505,1,,119,
0034,200706,2,9.0,62,6.889
0034,200803,1,,86,
0034,200804,1,,68,
0034,200808,1,,119,
0034,201004,1,,68,
0034,201107,1,,86,
0034,201111,1,,86,
0034,201401,1,,68,
0034,201403,1,,68,
0034,201499,1,,108,
0034,202502,3,3.0,37,12.333
0034,220106,1,,11,
0034,220111,1,,16,
0034,220112,1,,16,
0034,220113,1,,16,
0034,220205,1,,36,
0034,220208,2,16.0,20,1.25
0034,220302,1,,16,
0034,220399,1,,34,
0034,220401,1,,118,
0034,220403,1,,96,
0034,220405,1,,16,
0034,220409,3,18.5,37,2.0
0034,220499,1,,20,
0034,220503,1,,16,
0034,220507,1,,16,
0034,220512,1,,16,
0034,220513,1,,108,
0034,220603,1,,11,
0034,220606,1,,16,
0034,220699,3,31.0,34,1.097
0034,220703,1,,87,
0034,221004,1,,16,
0034,231102,2,16.0,58,3.625
0034,300202,1,,96,
0034,300206,1,,13,
0034,300601,1,,44,
0034,300606,1,,101,
0034,301007,1,,11,
0034,301603,3,52.5,13,0.248
0034,301605,1,,34,
0034,301607,1,,40,
0034,301608,2,88.0,13,0.148
0034,301609,2,81.0,20,0.247
0034,301802,4,21.667,34,1.569
0034,301804,1,,44,
0034,331504,1,,16,
0034,331901,1,,119,
0034,332102,1,,119,
0034,332303,1,,41,
0034,341004,1,,99,
0035,120104,1,,119,
0035,152101,1,,119,
0035,200201,1,,119,
0035,200807,1,,119,
0035,200809,1,,119,
0035,201301,1,,119,
0035,220101,1,,119,
0035,220102,1,,119,
0036,200299,1,,11,
0036,200603,1,,119,
0036,200607,1,,119,
0036,200608,1,,119,
0036,201107,1,,11,
0036,220113,1,,11,
0036,220208,1,,11,
0036,220513,1,,11,
0036,220605,1,,11,
0036,300604,1,,11,
0036,301303,1,,11,
0036,301603,1,,11,
0036,301801,1,,119,
0037,100101,1,,88,
0037,100102,1,,72,
0037,100104,1,,72,
0037,110203,1,,72,
0037,120102,1,,88,
0037,120104,2,10.0,67,6.7
0037,120201,1,,108,
0037,120301,1,,88,
0037,120302,2,47.0,72,1.532
0037,120303,2,2.0,88,44.0
0037,120307,1,,119,
0037,120313,1,,29,
0037,150101,2,41.0,67,1.634
0037,150199,2,41.0,67,1.634
0037,151701,2,23.0,67,2.913
0037,151805,1,,77,
0037,151899,2,38.0,29,0.763
0037,200105,1,,90,
0037,200201,1,,88,
0037,200501,1,,29,
0037,220109,1,,89,
0037,220111,2,12.0,77,6.417
0037,220301,1,,89,
0037,220302,3,11.0,67,6.091
0037,220305,1,,77,
0037,220399,3,30.0,29,0.967
0037,220503,1,,89,
0037,220699,1,,119,
0037,220710,1,,77,
0037,221004,1,,72,
0037,230304,2,5.0,67,13.4
0037,230705,2,29.0,90,3.103
0037,230901,5,13.0,67,5.154
0038,100104,1,,99,
0038,120101,4,32.333,7,0.216
0038,120102,4,32.333,7,0.216
0038,120104,4,32.333,7,0.216
0038,120106,1,,99,
0038,120201,1,,19,
0038,120301,2,7.0,112,16.0
0038,120302,2,100.0,19,0.19
0038,120303,1,,112,
0038,120306,1,,104,
0038,120307,1,,19,
0038,120309,1,,119,
0038,120313,1,,19,
0038,152101,3,46.0,7,0.152
0038,200603,1,,99,
0038,200605,1,,71,
0038,200704,1,,104,
0038,201103,1,,19,
0038,201107,1,,19,
0038,201111,1,,77,
0038,220504,1,,76,
0038,220508,1,,77,
0038,221202,1,,77,
0038,230202,1,,72,
0038,230299,1,,72,
0038,300801,1,,112,
0039,110107,3,40.0,33,0.825
0039,120101,1,,55,
0039,120102,5,13.5,57,4.222
0039,120104,8,12.857,29,2.256
0039,120105,1,,95,
0039,120106,2,40.0,55,1.375
0039,120201,1,,33,
0039,120301,1,,67,
0039,120302,5,25.5,9,0.353
0039,120306,3,22.0,9,0.409
0039,120307,1,,119,
0039,120309,2,6.0,11,1.833
0039,120313,2,16.0,45,2.812
0039,130603,1,,29,
0039,150101,1,,9,
0039,150502,2,40.0,55,1.375
0039,150503,1,,47,
0039,151099,3,32.0,47,1.469
0039,152101,6,9.6,43,4.479
0039,200105,1,,111,
0039,200302,1,,9,
0039,200705,1,,74,
0039,200902,1,,119,
0039,201111,1,,113,
0039,201302,3,26.0,43,1.654
0039,201403,1,,34,
0039,201404,1,,119,
0039,201499,3,34.0,43,1.265
0039,202502,1,,43,
0039,220103,1,,106,
0039,220111,1,,106,
0039,220112,1,,53,
0039,220113,1,,43,
0039,220205,2,15.0,91,6.067
0039,220503,1,,43,
0039,220605,1,,106,
0039,220607,1,,9,
0039,220699,1,,74,
0039,230501,2,2.0,9,4.5
0039,300601,1,,91,
0039,301601,1,,106,
0039,311808,1,,58,
0040,120101,1,,92,
0040,120306,1,,92,
0040,120307,1,,71,
0040,150506,1,,119,
0040,151701,1,,71,
0040,151801,1,,71,
0040,200803,1,,71,
0040,201101,1,,92,
0040,201302,1,,92,
0040,210505,1,,71,
0040,210601,1,,71,
0040,220112,1,,71,
0040,220303,1,,71,
0040,221202,1,,71,
0040,300206,1,,71,
0040,300601,1,,71,
0040,301603,1,,71,
0040,301608,1,,92,
0041,120101,2,4.0,115,28.75
0041,120102,1,,115,
0041,120106,1,,119,
0041,120309,1,,72,
0041,152101,1,,115,
0041,220802,1,,119,
0042,110204,1,,27,
0042,120101,1,,27,
0042,120104,2,92.0,27,0.293
0042,120106,1,,27,
0042,120205,1,,27,
0042,150502,1,,119,
0042,150504,1,,27,
0042,150505,2,92.0,27,0.293
0042,151704,1,,27,
0042,152101,1,,119,
0042,201303,1,,27,
0042,220202,1,,27,
0042,220703,1,,27,
0042,230201,1,,27,
0043,120307,1,,80,
0043,120309,1,,80,
0043,201105,1,,20,
0043,220801,1,,119,
0043,230103,1,,68,
0043,300206,2,99.0,20,0.202
0043,300401,1,,68,
0043,300602,1,,119,
0043,300801,1,,25,
0043,301106,1,,119,
0043,301301,1,,119,
0043,301303,1,,68,
0043,301603,1,,68,
0043,301606,1,,25,
0043,340207,1,,24,
0044,100101,4,27.667,36,1.301
0044,100104,1,,71,
0044,120101,1,,36,
0044,120102,5,20.75,36,1.735
0044,120103,1,,97,
0044,120104,4,27.667,36,1.301
0044,120105,3,41.5,36,0.867
0044,120106,1,,71,
0044,120301,2,17.0,97,5.706
0044,120309,1,,36,
0044,120501,2,61.0,36,0.59
0044,150506,1,,97,
0044,152101,1,,114,
0044,200101,1,,119,
0044,200105,1,,119,
0044,201102,1,,97,
0044,201105,1,,97,
0044,201111,1,,97,
0044,201199,1,,97,
0044,201301,1,,114,
0044,220108,1,,119,
0044,220208,1,,119,
0044,220499,1,,36,
0044,301608,1,,119,
0045,120102,1,,119,
0045,120104,1,,119,
0045,120105,1,,119,
0045,230703,1,,119,
0046,100101,1,,5,
0046,100102,1,,38,
0046,120101,4,19.667,5,0.254
0046,120102,4,19.667,5,0.254
0046,120103,2,2.0,3,1.5
0046,120104,4,11.667,3,0.257
0046,120105,1,,8,
0046,120106,1,,9,
0046,120201,1,,38,
0046,120204,2,102.0,5,0.049
0046,120301,1,,119,
0046,120302,1,,119,
0046,120303,1,,57,
0046,120309,1,,119,
0046,130803,1,,107,
0046,150501,1,,8,
0046,150504,1,,8,
0046,150506,1,,57,
0046,152101,1,,9,
0046,200601,1,,3,
0046,200604,1,,57,
0046,201103,1,,64,
0046,201107,1,,64,
0046,220108,1,,38,
0046,220111,1,,38,
0046,220502,1,,107,
0046,220608,1,,107,
0046,311803,1,,57,
0047,110204,2,28.0,84,3.0
0047,120101,18,6.765,4,0.591
0047,120102,9,13.875,4,0.288
0047,120103,4,32.333,18,0.557
0047,120104,4,22.333,52,2.328
0047,120105,1,,96,
0047,120106,4,26.333,33,1.253
0047,120109,2,48.0,36,0.75
0047,120201,2,41.0,55,1.341
0047,120204,4,23.667,36,1.521
0047,120205,2,8.0,108,13.5
0047,120301,11,8.4,35,4.167
0047,120302,1,,15,
0047,120305,3,6.5,0,0.0
0047,120307,7,16.167,18,1.113
0047,120309,1,,15,
0047,120313,16,6.533,15,2.296
0047,120501,3,12.0,92,7.667
0047,130603,2,8.0,97,12.125
0047,130801,3,37.0,33,0.892
0047,130803,1,,97,
0047,150105,1,,91,
0047,150199,1,,91,
0047,150501,8,13.429,2,0.149
0047,150502,1,,111,
0047,150503,5,22.0,31,1.409
0047,150504,25,4.833,0,0.0
0047,152101,3,32.0,55,1.719
0047,152104,5,22.25,18,0.809
0047,200709,1,,47,
0047,200806,1,,52,
0047,200809,1,,90,
0047,201201,1,,18,
0047,201203,1,,18,
0047,201499,1,,93,
0047,220107,1,,4,
0047,220202,3,52.5,4,0.076
0047,220205,1,,105,
0047,220208,1,,84,
0047,220502,4,26.0,37,1.423
0047,220513,1,,47,
0047,220799,1,,41,
0047,221202,1,,108,
0047,230501,3,38.0,40,1.053
0047,230502,1,,40,
0047,300401,1,,54,
0047,300402,1,,54,
0047,300601,1,,54,
0047,300602,1,,54,
0047,301603,1,,54,
0047,301609,1,,54,
0047,341601,1,,54,
0048,120101,1,,47,
0048,120102,2,72.0,47,0.653
0048,120105,1,,119,
0048,120106,1,,47,
0048,230401,1,,119,
