user_id,P_促销敏感型,P_流失预警型,P_高价值稳定型,P_促销敏感型2,P_高价值稳定型2,P_生鲜高频型,P_类目集中型,硬标签,语义群体
0088,0.0286,0.0278,0.8343,0.0039,0.1021,0.0,0.0033,2,高价值稳定型
0089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0090,0.0178,0.0015,0.9793,0.0002,0.0011,0.0,0.0,2,高价值稳定型
0091,0.001,0.0,0.9899,0.0,0.0091,0.0,0.0,2,高价值稳定型
0092,0.0257,0.0,0.9743,0.0,0.0,0.0,0.0,2,高价值稳定型
0093,0.0011,0.0,0.9978,0.0,0.001,0.0,0.0,2,高价值稳定型
0094,0.0225,0.004,0.9735,0.0,0.0,0.0,0.0,2,高价值稳定型
0095,0.0003,0.0,0.7336,0.0004,0.2654,0.0,0.0003,2,高价值稳定型
0096,0.3275,0.0028,0.0009,0.1048,0.2383,0.0,0.3256,0,促销敏感型
0097,0.0,0.0,0.0,1e-04,0.0,0.0,0.9999,6,类目集中型
0098,0.949,0.0021,0.0,0.0452,0.0,0.0,0.0037,0,促销敏感型
0099,0.0007,0.0048,0.0173,0.013,0.964,0.0002,1e-04,4,高价值稳定型2
0100,0.0007,0.0058,0.0,0.0348,0.0,0.9586,0.0,5,生鲜高频型
0101,0.4205,0.4309,0.0,0.1486,0.0,0.0,0.0,1,流失预警型
0102,0.0003,0.0,0.9818,1e-04,0.0178,0.0,0.0,2,高价值稳定型
0103,0.1482,0.0736,0.2547,0.0682,0.1221,0.0959,0.2373,2,高价值稳定型
0104,0.0049,0.0046,0.5922,0.0039,0.3847,0.0,0.0096,2,高价值稳定型
0105,0.0003,0.0,0.9953,0.0,0.0043,0.0,0.0,2,高价值稳定型
0106,0.0049,0.0,0.9944,0.0,0.0007,0.0,0.0,2,高价值稳定型
0107,0.0049,0.0082,0.3344,0.0055,0.6427,0.0,0.0043,4,高价值稳定型2
0108,0.0022,0.0,0.9978,0.0,0.0,0.0,0.0,2,高价值稳定型
0109,0.0045,0.0007,0.0,0.0938,0.9004,0.0,0.0006,4,高价值稳定型2
0110,0.0,0.0097,0.9903,0.0,0.0,0.0,0.0,2,高价值稳定型
0111,0.0019,0.0066,0.004,0.0558,0.4351,0.4967,0.0,5,生鲜高频型
0112,0.0051,0.0115,0.0,0.968,0.015,0.0003,0.0,3,促销敏感型2
0113,1e-04,0.0,0.871,0.0002,0.1286,0.0,0.0002,2,高价值稳定型
0114,0.0128,0.0045,0.0232,0.0293,0.9303,0.0,0.0,4,高价值稳定型2
0115,0.0701,0.0082,0.9207,0.001,0.0,0.0,0.0,2,高价值稳定型
0116,0.9639,1e-04,0.0,0.036,0.0,0.0,0.0,0,促销敏感型
0117,0.0016,0.0071,0.243,0.0036,0.7425,1e-04,0.0022,4,高价值稳定型2
0118,0.0642,0.0007,0.9347,0.0002,1e-04,0.0,0.0,2,高价值稳定型
0119,0.0099,1e-04,0.9887,1e-04,0.0012,0.0,0.0,2,高价值稳定型
0120,0.1501,1e-04,0.0,0.8499,0.0,0.0,0.0,3,促销敏感型2
0121,0.0002,0.0,0.9532,1e-04,0.0465,0.0,0.0,2,高价值稳定型
0122,0.0071,0.0081,0.9848,0.0,0.0,0.0,0.0,2,高价值稳定型
0123,0.0005,0.0,0.0,0.9986,0.0009,0.0,0.0,3,促销敏感型2
0124,0.0435,0.0055,0.0,0.0016,0.0,0.9491,0.0004,5,生鲜高频型
0125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,促销敏感型2
0126,0.0181,0.001,0.981,0.0,0.0,0.0,0.0,2,高价值稳定型
0127,0.0009,0.0,0.9991,0.0,0.0,0.0,0.0,2,高价值稳定型
0128,0.0016,0.0137,0.9845,1e-04,0.0,0.0,0.0,2,高价值稳定型
0129,0.0055,0.0241,0.9702,0.0002,0.0,0.0,0.0,2,高价值稳定型
0130,0.0129,1e-04,0.9865,0.0002,0.0004,0.0,0.0,2,高价值稳定型
0131,0.704,0.1073,0.0006,0.1537,0.0343,0.0,0.0,0,促销敏感型
0132,0.0043,0.0026,0.0031,0.0302,0.9597,0.0,0.0,4,高价值稳定型2
0133,0.0023,0.0,0.9913,0.0002,0.0061,0.0,0.0,2,高价值稳定型
0134,0.0022,0.0,0.9537,0.0007,0.0433,0.0,1e-04,2,高价值稳定型
0135,0.001,0.002,0.0,0.9269,0.07,0.0,0.0,3,促销敏感型2
0136,0.1298,0.3844,0.4537,0.0116,0.0,0.0206,0.0,2,高价值稳定型
0137,0.0208,0.0016,0.0,0.1461,0.1201,0.0,0.7114,6,类目集中型
0138,0.0071,0.0123,0.0,0.0132,0.0,0.9674,0.0,5,生鲜高频型
0139,0.0028,0.0003,0.8998,0.0003,0.0968,0.0,0.0,2,高价值稳定型
0140,0.0002,0.0057,0.9941,0.0,0.0,0.0,0.0,2,高价值稳定型
0141,0.0073,0.0162,0.0,0.2227,1e-04,0.7537,0.0,5,生鲜高频型
0142,1e-04,0.0,0.9958,0.0,0.0041,0.0,0.0,2,高价值稳定型
0143,0.0025,0.0018,0.0011,0.2372,0.7574,0.0,0.0,4,高价值稳定型2
0144,0.0126,0.0,0.9872,0.0,0.0002,0.0,0.0,2,高价值稳定型
0145,0.0349,0.0,0.9651,0.0,0.0,0.0,0.0,2,高价值稳定型
0146,0.0004,0.0,0.931,1e-04,0.0684,0.0,0.0,2,高价值稳定型
0147,0.0,0.0,0.0,0.0234,0.0043,0.0,0.9723,6,类目集中型
0148,0.0023,0.0,0.0,0.9977,0.0,0.0,0.0,3,促销敏感型2
0149,0.2918,0.5469,0.1553,0.006,0.0,0.0,0.0,1,流失预警型
0150,0.5521,0.014,0.4319,0.0019,0.0,0.0,0.0,0,促销敏感型
0151,0.001,0.0,0.998,0.0,0.001,0.0,0.0,2,高价值稳定型
0152,0.0307,1e-04,0.969,1e-04,0.0,0.0,0.0,2,高价值稳定型
0153,0.3956,0.0691,0.532,0.0032,0.0002,0.0,0.0,2,高价值稳定型
0154,0.0,0.0,0.0,0.0117,0.0,0.0,0.9883,6,类目集中型
0155,0.8329,0.1415,0.003,0.0216,0.0007,0.0,0.0004,0,促销敏感型
0156,0.0005,0.0,0.9121,0.0003,0.0869,0.0,0.0002,2,高价值稳定型
0157,0.0294,0.0025,0.0,0.4502,0.5095,0.0084,0.0,4,高价值稳定型2
0158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0159,0.1191,0.1521,0.7276,0.0012,0.0,0.0,0.0,2,高价值稳定型
0160,0.7024,0.2952,0.0008,0.0016,0.0,0.0,0.0,0,促销敏感型
0161,0.007,0.0,0.0,0.078,0.0,0.0,0.9149,6,类目集中型
0162,0.0205,0.0079,0.0433,0.0168,0.9056,0.0,0.0058,4,高价值稳定型2
0163,0.0042,0.0008,0.9393,0.0006,0.0546,0.0,0.0005,2,高价值稳定型
0164,0.0006,0.0,0.9826,1e-04,0.0167,0.0,0.0,2,高价值稳定型
0165,0.0145,0.0267,0.0,0.031,0.0,0.9278,0.0,5,生鲜高频型
0166,0.9883,0.0116,0.0,1e-04,0.0,0.0,0.0,0,促销敏感型
0167,0.0011,0.0058,0.2164,0.0035,0.7719,0.0,0.0012,4,高价值稳定型2
0168,0.0004,0.0013,0.4344,0.0019,0.5486,0.0,0.0134,4,高价值稳定型2
0169,0.4255,0.0117,0.0005,0.1395,0.4225,0.0003,0.0,0,促销敏感型
0170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0171,0.0397,0.0342,0.9211,0.0025,0.0022,0.0,0.0003,2,高价值稳定型
0172,0.1359,0.0007,0.8635,0.0,0.0,0.0,0.0,2,高价值稳定型
0173,0.0024,0.0003,1e-04,0.0782,0.919,1e-04,0.0,4,高价值稳定型2
0174,0.0012,0.0,0.9783,1e-04,0.0204,0.0,0.0,2,高价值稳定型
0175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0176,0.0463,0.0157,0.938,1e-04,0.0,0.0,0.0,2,高价值稳定型
0177,0.1166,0.0002,0.8832,0.0,0.0,0.0,0.0,2,高价值稳定型
0178,0.0003,1e-04,0.0,0.9996,0.0,0.0,0.0,3,促销敏感型2
0179,0.0009,0.0049,0.1633,0.0043,0.8255,0.0,0.0011,4,高价值稳定型2
0180,0.0125,0.0046,0.0062,0.0744,0.0432,0.3413,0.5178,6,类目集中型
0181,0.0187,1e-04,0.9811,0.0,1e-04,0.0,0.0,2,高价值稳定型
0182,0.0063,0.0038,0.0004,0.0585,0.8726,0.0,0.0584,4,高价值稳定型2
0183,0.002,0.0,0.9931,1e-04,0.0048,0.0,0.0,2,高价值稳定型
0184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0185,0.7608,0.2096,0.0,0.0239,0.0,0.0018,0.0039,0,促销敏感型
0186,0.0012,0.0005,0.0,0.7135,0.0092,0.0,0.2757,3,促销敏感型2
0187,0.0548,0.0075,0.9377,0.0,0.0,0.0,0.0,2,高价值稳定型
0188,0.1609,0.0574,0.3211,0.0397,0.4199,0.0,0.001,4,高价值稳定型2
0189,0.0005,0.0018,0.1611,0.0033,0.832,0.0,0.0014,4,高价值稳定型2
0190,0.0016,0.0,0.9801,1e-04,0.0182,0.0,0.0,2,高价值稳定型
0191,0.0008,0.0018,0.0087,0.0111,0.9774,0.0002,0.0,4,高价值稳定型2
0192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0193,0.2333,0.6281,0.1343,0.0035,0.0,1e-04,0.0008,1,流失预警型
0194,0.0366,0.0288,0.0,0.1139,0.0,0.8207,0.0,5,生鲜高频型
0195,0.0023,0.0,0.0,0.9977,0.0,0.0,0.0,3,促销敏感型2
0196,0.0042,0.0091,0.4243,0.0027,0.5542,0.0,0.0055,4,高价值稳定型2
0197,0.0028,0.0294,0.9677,1e-04,0.0,0.0,0.0,2,高价值稳定型
0198,0.0065,0.0017,0.0026,0.0203,0.9689,0.0,0.0,4,高价值稳定型2
0199,0.0008,0.0024,0.475,0.0013,0.5134,0.0,0.007,4,高价值稳定型2
0200,0.001,1e-04,0.0,0.0864,0.9045,0.0079,0.0,4,高价值稳定型2
0201,0.0011,0.0012,0.3932,0.0022,0.5954,0.0,0.0068,4,高价值稳定型2
0202,0.0007,1e-04,0.0,0.9989,0.0,0.0,0.0003,3,促销敏感型2
0203,0.0147,0.0004,0.9847,0.0,0.0002,0.0,0.0,2,高价值稳定型
0204,0.0006,0.0,0.9917,1e-04,0.0076,0.0,0.0,2,高价值稳定型
0205,0.0006,0.0,0.9994,0.0,0.0,0.0,0.0,2,高价值稳定型
0206,0.0111,0.0019,0.0,0.9828,0.0042,0.0,0.0,3,促销敏感型2
0207,0.0097,0.0096,0.5679,0.0053,0.398,1e-04,0.0094,2,高价值稳定型
0208,0.698,0.0617,0.0,0.2403,0.0,0.0,0.0,0,促销敏感型
0209,0.0041,0.0061,0.6626,0.0085,0.2479,0.0057,0.0651,2,高价值稳定型
0210,0.0,0.0,0.9991,0.0,0.0008,0.0,0.0,2,高价值稳定型
0211,0.0029,0.0036,0.0,0.1173,0.876,1e-04,0.0,4,高价值稳定型2
0212,0.0,0.0,0.9914,0.0,0.0086,0.0,0.0,2,高价值稳定型
0213,0.0,0.0014,0.0,0.9982,0.0004,0.0,0.0,3,促销敏感型2
0214,0.3976,0.014,0.0,0.5186,0.0697,0.0,0.0,3,促销敏感型2
0215,1e-04,0.0,0.957,1e-04,0.0427,0.0,0.0,2,高价值稳定型
0216,0.9454,0.054,0.0,0.0005,0.0,0.0,0.0,0,促销敏感型
0217,0.0273,0.0554,0.9165,0.0008,0.0,0.0,1e-04,2,高价值稳定型
0218,0.0269,0.0296,0.0142,0.1169,0.5568,0.2552,0.0004,4,高价值稳定型2
0219,0.0,0.0,0.0,0.0117,1e-04,0.0,0.9882,6,类目集中型
0220,0.0012,0.0023,0.4978,0.0016,0.4905,0.0,0.0065,2,高价值稳定型
0221,0.0745,0.0049,0.9207,0.0,0.0,0.0,0.0,2,高价值稳定型
0222,0.0612,0.0311,0.0,0.0667,0.0,0.841,0.0,5,生鲜高频型
0223,0.0034,0.0,0.9961,0.0,0.0005,0.0,0.0,2,高价值稳定型
0224,0.001,0.0003,0.0,0.9857,0.013,0.0,0.0,3,促销敏感型2
0225,0.0087,0.0025,0.0,0.6225,0.0,0.0053,0.3611,3,促销敏感型2
0226,0.042,0.0,0.958,0.0,0.0,0.0,0.0,2,高价值稳定型
0227,0.0,0.0,0.7817,0.0004,0.217,0.0,0.0008,2,高价值稳定型
0228,0.0197,0.0029,0.9755,0.0004,0.0014,0.0,1e-04,2,高价值稳定型
0229,0.0072,0.0143,0.9785,0.0,0.0,0.0,0.0,2,高价值稳定型
0230,0.408,0.0266,0.0,0.2438,0.258,0.0,0.0635,0,促销敏感型
0231,0.0027,0.0,0.9972,0.0,0.0,0.0,0.0,2,高价值稳定型
0232,0.0011,1e-04,0.0,0.6645,0.3343,0.0,0.0,3,促销敏感型2
0233,0.1887,0.7874,0.0014,0.0225,0.0,0.0,0.0,1,流失预警型
0234,0.0,0.0004,0.0,0.9996,0.0,0.0,0.0,3,促销敏感型2
0235,0.0003,0.0,0.9918,1e-04,0.0078,0.0,0.0,2,高价值稳定型
0236,0.0006,0.0,0.9871,1e-04,0.0123,0.0,0.0,2,高价值稳定型
0237,0.4945,0.4772,0.0238,0.003,0.0,0.0,0.0016,0,促销敏感型
0238,1e-04,0.0,0.7194,0.0002,0.2802,0.0,0.0002,2,高价值稳定型
0239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0240,0.0076,0.0056,0.0011,0.1057,0.8776,0.0024,0.0,4,高价值稳定型2
0241,0.1227,0.0002,0.877,1e-04,0.0,0.0,0.0,2,高价值稳定型
0242,0.0007,1e-04,0.8288,0.0005,0.1692,0.0,0.0008,2,高价值稳定型
0243,0.0024,0.0016,0.0,0.3404,0.6555,0.0,0.0,4,高价值稳定型2
0244,0.001,0.0064,0.0932,0.0118,0.8731,0.0142,0.0003,4,高价值稳定型2
0245,0.5456,0.0029,0.0,0.4426,0.0,0.0,0.009,0,促销敏感型
0246,0.0115,0.023,0.9651,0.0004,0.0,0.0,0.0,2,高价值稳定型
0247,0.0082,0.0209,0.9709,0.0,0.0,0.0,0.0,2,高价值稳定型
0248,0.1702,0.3308,0.0331,0.3211,0.1433,0.0015,0.0,1,流失预警型
0249,0.2728,0.0072,0.7199,0.0,0.0,0.0,0.0,2,高价值稳定型
0250,1e-04,0.0,0.9933,0.0,0.0066,0.0,0.0,2,高价值稳定型
0251,0.0315,0.0035,0.0,0.2139,0.751,1e-04,0.0,4,高价值稳定型2
0252,0.0016,0.0033,0.0,0.9769,0.0182,0.0,0.0,3,促销敏感型2
0253,0.0396,0.0201,0.6713,0.0207,0.2155,0.0003,0.0326,2,高价值稳定型
0254,0.026,0.0008,0.0,0.9732,0.0,0.0,0.0,3,促销敏感型2
0255,0.0024,0.0008,0.8157,0.0026,0.1718,0.0,0.0066,2,高价值稳定型
0256,0.0109,0.0011,0.9788,0.0003,0.0089,0.0,0.0,2,高价值稳定型
0257,0.0,0.0,0.0,0.0089,0.0,0.0,0.9911,6,类目集中型
0258,0.3411,0.0003,0.6586,0.0,0.0,0.0,0.0,2,高价值稳定型
0259,0.0517,0.0334,0.7106,0.0527,0.134,0.0176,0.0,2,高价值稳定型
0260,0.0,0.0,0.8866,0.0002,0.113,0.0,0.0002,2,高价值稳定型
0261,0.0004,1e-04,0.7417,0.0006,0.2553,0.0,0.0019,2,高价值稳定型
0262,0.4404,0.5243,0.0,0.0344,0.0,0.0,0.001,1,流失预警型
0263,0.0393,0.0057,0.0,0.8449,0.0,0.0002,0.1099,3,促销敏感型2
0264,0.04,0.0387,0.5833,0.0148,0.3228,0.0,0.0003,2,高价值稳定型
0265,0.0012,0.0,0.9896,1e-04,0.009,0.0,0.0,2,高价值稳定型
0266,0.0598,0.0177,0.8545,0.0029,0.0641,0.0,0.0009,2,高价值稳定型
0267,0.0002,0.0,0.9163,1e-04,0.0832,0.0,1e-04,2,高价值稳定型
0268,0.004,0.0041,0.089,0.0077,0.8951,0.0,0.0002,4,高价值稳定型2
0269,0.0081,0.0018,0.9531,0.0005,0.0363,0.0,1e-04,2,高价值稳定型
0270,1e-04,0.0,0.9273,1e-04,0.0724,0.0,0.0,2,高价值稳定型
0271,0.0313,0.0022,0.9588,0.0017,0.0058,0.0,0.0002,2,高价值稳定型
0272,0.0011,0.0006,0.0,0.7665,0.2317,1e-04,0.0,3,促销敏感型2
0273,0.082,0.3404,0.57,0.0075,1e-04,0.0,0.0,2,高价值稳定型
0274,0.0029,0.0,0.9941,1e-04,0.0029,0.0,0.0,2,高价值稳定型
0275,0.0004,0.9996,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0276,0.3253,0.0081,0.0,0.0227,0.0,0.6438,0.0,5,生鲜高频型
0277,0.3181,0.3606,0.298,0.0181,0.0052,0.0,0.0,1,流失预警型
0278,0.0189,0.0084,0.0611,0.0177,0.8937,1e-04,0.0,4,高价值稳定型2
0279,0.0021,0.0018,0.0266,0.0077,0.961,0.0,0.0008,4,高价值稳定型2
0280,0.1057,0.0554,0.8381,0.0006,1e-04,0.0,0.0,2,高价值稳定型
0281,0.0002,0.0,0.538,0.0005,0.4609,0.0,0.0004,2,高价值稳定型
0282,0.1899,0.0082,0.0,0.8019,0.0,0.0,0.0,3,促销敏感型2
0283,0.0124,1e-04,0.0,0.9875,0.0,0.0,0.0,3,促销敏感型2
0284,0.0011,0.0,0.9968,0.0,0.0021,0.0,0.0,2,高价值稳定型
0285,0.0204,0.0035,0.0,0.0,0.0,0.9762,0.0,5,生鲜高频型
0286,0.0671,1e-04,0.9328,0.0,0.0,0.0,0.0,2,高价值稳定型
0287,0.0002,0.0,0.296,0.0014,0.6998,0.0,0.0026,4,高价值稳定型2
0288,0.004,0.0004,0.0,0.91,0.0153,0.0699,0.0004,3,促销敏感型2
0289,0.9998,0.0,0.0,0.0002,0.0,0.0,0.0,0,促销敏感型
0290,0.0005,0.0045,0.0,0.966,0.029,0.0,0.0,3,促销敏感型2
0291,0.0176,0.0147,0.001,0.0963,0.005,0.8655,0.0,5,生鲜高频型
0292,0.7941,0.0023,0.0,0.0062,0.0,0.1974,0.0,0,促销敏感型
0293,0.1073,0.0295,0.0026,0.1772,0.0542,0.6292,0.0,5,生鲜高频型
0294,0.0008,0.0038,0.2561,0.0033,0.7295,0.0,0.0064,4,高价值稳定型2
0295,0.0123,0.0043,0.0,0.0028,0.0,0.9801,0.0005,5,生鲜高频型
0296,0.0228,0.0003,0.0,0.9769,0.0,0.0,0.0,3,促销敏感型2
0297,0.0241,0.0999,0.0589,0.0275,0.7832,0.0,0.0065,4,高价值稳定型2
0298,0.0002,0.0004,0.0531,0.0067,0.9211,0.0,0.0184,4,高价值稳定型2
0299,0.0087,0.006,0.0002,0.0773,0.8859,0.0,0.022,4,高价值稳定型2
0300,0.0004,0.0023,0.3508,0.0016,0.6394,0.0,0.0055,4,高价值稳定型2
0301,0.0496,0.0387,0.9116,0.0,0.0,0.0,0.0,2,高价值稳定型
0302,0.991,0.0035,0.0,0.0032,0.0,0.0,0.0022,0,促销敏感型
0303,0.0091,0.0,0.9909,0.0,0.0,0.0,0.0,2,高价值稳定型
0304,0.0006,0.0,0.9988,0.0,0.0006,0.0,0.0,2,高价值稳定型
0305,0.0095,0.9905,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0306,0.0007,0.0005,0.6577,0.001,0.3352,0.0,0.0049,2,高价值稳定型
0307,0.024,0.0007,0.0,0.1508,0.2199,0.0,0.6047,6,类目集中型
