user_id,rank,item_id,cat_l1,cat_l3,score,主要来源,reason
0006,6,DW-1201040026,蔬果,花果,0.5277,关联规则,与你近期购买商品强关联（花果）
0006,7,DW-1201010004,蔬果,叶菜,0.48,价格匹配,该商品符合你的常购价格带
0006,8,DW-1201020045,蔬果,根茎,0.4468,价格匹配,该商品符合你的常购价格带
0006,9,DW-1201010005,蔬果,叶菜,0.5255,价格匹配,该商品符合你的常购价格带
0006,10,DW-1201040027,蔬果,花果,0.4636,价格匹配,该商品符合你的常购价格带
0007,1,DW-1201040035,蔬果,花果,0.6034,关联规则,与你近期购买商品强关联（花果）
0007,2,DW-1201020029,蔬果,根茎,0.5922,价格匹配,该商品符合你的常购价格带
0007,3,DW-1201020045,蔬果,根茎,0.5912,价格匹配,该商品符合你的常购价格带
0007,4,DW-1001010205,肉禽,鲜猪肉,0.5601,图推荐,与你购买行为相似的顾客也常购买该商品
0007,5,DW-1201020361,蔬果,根茎,0.5537,价格匹配,该商品符合你的常购价格带
0007,6,DW-1201020013,蔬果,根茎,0.4967,价格匹配,该商品符合你的常购价格带
0007,7,DW-1517010003,日配,猪肉火腿肠,0.5508,价格匹配,该商品符合你的常购价格带
0007,8,DW-1203090210,蔬果,进口水果,0.5802,价格匹配,该商品符合你的常购价格带
0007,9,DW-1201050011,蔬果,鲜调味,0.5162,价格匹配,该商品符合你的常购价格带
0007,10,DW-1201020042,蔬果,根茎,0.5603,价格匹配,该商品符合你的常购价格带
0008,1,DW-1001040125,肉禽,猪骨,0.5615,图推荐,与你购买行为相似的顾客也常购买该商品
0008,2,DW-1203090210,蔬果,进口水果,0.577,图推荐,与你购买行为相似的顾客也常购买该商品
0008,3,DW-1518030030,日配,利乐砖营养奶,0.4929,价格匹配,该商品符合你的常购价格带
0008,4,DW-1201020029,蔬果,根茎,0.3914,关联规则,与你近期购买商品强关联（根茎）
0008,5,DW-1518010002,日配,利乐砖纯奶,0.389,价格匹配,该商品符合你的常购价格带
0008,6,DW-1201040035,蔬果,花果,0.3981,价格匹配,该商品符合你的常购价格带
0008,7,DW-1201020045,蔬果,根茎,0.3792,价格匹配,该商品符合你的常购价格带
0008,8,DW-1201020042,蔬果,根茎,0.3989,价格匹配,该商品符合你的常购价格带
0008,9,DW-1201020361,蔬果,根茎,0.3402,关联规则,与你近期购买商品强关联（根茎）
0008,10,DW-1518010006,日配,利乐砖纯奶,0.3505,价格匹配,该商品符合你的常购价格带
0012,1,DW-1001010205,肉禽,鲜猪肉,0.7217,复购周期,你可能接近「鲜猪肉」的复购周期
0012,2,DW-1201020361,蔬果,根茎,0.5935,复购周期,你可能接近「根茎」的复购周期
0012,3,DW-1201020029,蔬果,根茎,0.563,复购周期,你可能接近「根茎」的复购周期
0012,4,DW-1001010195,肉禽,鲜猪肉,0.5296,复购周期,你可能接近「鲜猪肉」的复购周期
0012,5,DW-1001010204,肉禽,鲜猪肉,0.6925,复购周期,你可能接近「鲜猪肉」的复购周期
0012,6,DW-1001010196,肉禽,鲜猪肉,0.4107,复购周期,你可能接近「鲜猪肉」的复购周期
0012,7,DW-1203130446,蔬果,其它水果,0.4307,图推荐,与你购买行为相似的顾客也常购买该商品
0012,8,DW-1521010005,日配,新鲜蛋品,0.4569,复购周期,你可能接近「新鲜蛋品」的复购周期
0012,9,DW-1201020013,蔬果,根茎,0.6909,复购周期,你可能接近「根茎」的复购周期
0012,10,DW-1001010194,肉禽,鲜猪肉,0.5886,复购周期,你可能接近「鲜猪肉」的复购周期
0013,1,DW-1203070022,蔬果,蕉类,0.6204,图推荐,与你购买行为相似的顾客也常购买该商品
0013,2,DW-1203020164,蔬果,苹果类,0.6083,图推荐,与你购买行为相似的顾客也常购买该商品
0013,3,DW-1201020029,蔬果,根茎,0.5692,图推荐,与你购买行为相似的顾客也常购买该商品
0013,4,DW-1203090210,蔬果,进口水果,0.4993,图推荐,与你购买行为相似的顾客也常购买该商品
0013,5,DW-1201040035,蔬果,花果,0.5009,图推荐,与你购买行为相似的顾客也常购买该商品
0013,6,DW-1521010005,日配,新鲜蛋品,0.508,图推荐,与你购买行为相似的顾客也常购买该商品
0013,7,DW-1203020172,蔬果,苹果类,0.5826,价格匹配,该商品符合你的常购价格带
0013,8,DW-1001010194,肉禽,鲜猪肉,0.5383,图推荐,与你购买行为相似的顾客也常购买该商品
0013,9,DW-1301010076,熟食,凉拌素食,0.4081,图推荐,与你购买行为相似的顾客也常购买该商品
0013,10,DW-1201040010,蔬果,花果,0.4082,关联规则,与你近期购买商品强关联（花果）
0017,1,DW-1521010005,日配,新鲜蛋品,0.473,复购周期,你可能接近「新鲜蛋品」的复购周期
0017,2,DW-1518060018,日配,利乐枕加味奶,0.6967,复购周期,你可能接近「利乐枕加味奶」的复购周期
0017,3,DW-1518060020,日配,利乐枕加味奶,0.4076,复购周期,你可能接近「利乐枕加味奶」的复购周期
0017,4,DW-1201040035,蔬果,花果,0.6087,复购周期,你可能接近「花果」的复购周期
0017,5,DW-1201040010,蔬果,花果,0.4174,复购周期,你可能接近「花果」的复购周期
0017,6,DW-1201020029,蔬果,根茎,0.5739,复购周期,你可能接近「根茎」的复购周期
0017,7,DW-1518060019,日配,利乐枕加味奶,0.5724,复购周期,你可能接近「利乐枕加味奶」的复购周期
0017,8,DW-1521010002,日配,新鲜蛋品,0.6138,复购周期,你可能接近「新鲜蛋品」的复购周期
0017,9,DW-2202990050,休闲,其他糕点,0.3648,复购周期,你可能接近「其他糕点」的复购周期
0017,10,DW-1201040026,蔬果,花果,0.5795,复购周期,你可能接近「花果」的复购周期
0019,1,DW-1201020029,蔬果,根茎,0.5192,价格匹配,该商品符合你的常购价格带
0019,2,DW-1201010004,蔬果,叶菜,0.5385,价格匹配,该商品符合你的常购价格带
0019,3,DW-1201040035,蔬果,花果,0.5006,价格匹配,该商品符合你的常购价格带
0019,4,DW-1201040049,蔬果,花果,0.373,价格匹配,该商品符合你的常购价格带
0019,5,DW-1201040010,蔬果,花果,0.4111,关联规则,与你近期购买商品强关联（花果）
0019,6,DW-1201020013,蔬果,根茎,0.3352,价格匹配,该商品符合你的常购价格带
0019,7,DW-1201020721,蔬果,根茎,0.375,价格匹配,该商品符合你的常购价格带
0019,8,DW-1201010005,蔬果,叶菜,0.4174,价格匹配,该商品符合你的常购价格带
0019,9,DW-1201010020,蔬果,叶菜,0.3383,价格匹配,该商品符合你的常购价格带
0019,10,DW-1201020045,蔬果,根茎,0.3478,价格匹配,该商品符合你的常购价格带
0020,1,DW-1201010004,蔬果,叶菜,0.4851,复购周期,你可能接近「叶菜」的复购周期
0020,2,DW-1201010020,蔬果,叶菜,0.5501,复购周期,你可能接近「叶菜」的复购周期
0020,3,DW-1201010395,蔬果,叶菜,0.5692,复购周期,你可能接近「叶菜」的复购周期
0020,4,DW-1201010005,蔬果,叶菜,0.4368,复购周期,你可能接近「叶菜」的复购周期
0020,5,DW-1201010018,蔬果,叶菜,0.5471,复购周期,你可能接近「叶菜」的复购周期
0020,6,DW-1201010021,蔬果,叶菜,0.5639,复购周期,你可能接近「叶菜」的复购周期
0020,7,DW-1201010019,蔬果,叶菜,0.4745,复购周期,你可能接近「叶菜」的复购周期
0020,8,DW-1201010023,蔬果,叶菜,0.6683,复购周期,你可能接近「叶菜」的复购周期
0020,9,DW-1308010191,熟食,现制蒸类,0.65,复购周期,你可能接近「现制蒸类」的复购周期
0020,10,DW-1201060003,蔬果,菌菇类,0.5185,复购周期,你可能接近「菌菇类」的复购周期
0021,1,DW-1201040010,蔬果,花果,0.523,图推荐,与你购买行为相似的顾客也常购买该商品
0021,2,DW-1201010004,蔬果,叶菜,0.6118,价格匹配,该商品符合你的常购价格带
0021,3,DW-1201040035,蔬果,花果,0.4989,关联规则,与你近期购买商品强关联（花果）
0021,4,DW-1201010020,蔬果,叶菜,0.3562,价格匹配,该商品符合你的常购价格带
0021,5,DW-1201040049,蔬果,花果,0.4222,价格匹配,该商品符合你的常购价格带
0021,6,DW-1201040026,蔬果,花果,0.415,价格匹配,该商品符合你的常购价格带
0021,7,DW-1201010005,蔬果,叶菜,0.3129,价格匹配,该商品符合你的常购价格带
0021,8,DW-1521010005,日配,新鲜蛋品,0.5576,图推荐,与你购买行为相似的顾客也常购买该商品
0021,9,DW-1201010019,蔬果,叶菜,0.3886,价格匹配,该商品符合你的常购价格带
0021,10,DW-1201010023,蔬果,叶菜,0.3026,价格匹配,该商品符合你的常购价格带
0024,1,DW-1203130446,蔬果,其它水果,0.6872,复购周期,你可能接近「其它水果」的复购周期
0024,2,DW-1521010005,日配,新鲜蛋品,0.6684,复购周期,你可能接近「新鲜蛋品」的复购周期
0024,3,DW-1201020013,蔬果,根茎,0.5972,复购周期,你可能接近「根茎」的复购周期
0024,4,DW-1201020044,蔬果,根茎,0.5753,复购周期,你可能接近「根茎」的复购周期
0024,5,DW-1201020017,蔬果,根茎,0.5319,复购周期,你可能接近「根茎」的复购周期
0024,6,DW-1203070022,蔬果,蕉类,0.5382,图推荐,与你购买行为相似的顾客也常购买该商品
0024,7,DW-1201020029,蔬果,根茎,0.3925,复购周期,你可能接近「根茎」的复购周期
0024,8,DW-1201040035,蔬果,花果,0.5907,复购周期,你可能接近「花果」的复购周期
0024,9,DW-1201020042,蔬果,根茎,0.3757,复购周期,你可能接近「根茎」的复购周期
0024,10,DW-1201060004,蔬果,菌菇类,0.3961,复购周期,你可能接近「菌菇类」的复购周期
0031,1,DW-1521010005,日配,新鲜蛋品,0.5486,复购周期,你可能接近「新鲜蛋品」的复购周期
0031,2,DW-1001010194,肉禽,鲜猪肉,0.6307,图推荐,与你购买行为相似的顾客也常购买该商品
0031,3,DW-1521010002,日配,新鲜蛋品,0.4681,复购周期,你可能接近「新鲜蛋品」的复购周期
0031,4,DW-1201020029,蔬果,根茎,0.4563,关联规则,与你近期购买商品强关联（根茎）
0031,5,DW-1201010004,蔬果,叶菜,0.3871,价格匹配,该商品符合你的常购价格带
0031,6,DW-1521010001,日配,新鲜蛋品,0.4803,复购周期,你可能接近「新鲜蛋品」的复购周期
0031,7,DW-1201060010,蔬果,菌菇类,0.4677,价格匹配,该商品符合你的常购价格带
0031,8,DW-1201040049,蔬果,花果,0.3958,价格匹配,该商品符合你的常购价格带
0031,9,DW-1201060002,蔬果,菌菇类,0.4917,图推荐,与你购买行为相似的顾客也常购买该商品
0031,10,DW-1201060003,蔬果,菌菇类,0.4841,价格匹配,该商品符合你的常购价格带
0032,1,DW-1521010005,日配,新鲜蛋品,0.4597,复购周期,你可能接近「新鲜蛋品」的复购周期
0032,2,DW-1201020721,蔬果,根茎,0.5239,复购周期,你可能接近「根茎」的复购周期
0032,3,DW-1201040035,蔬果,花果,0.5694,复购周期,你可能接近「花果」的复购周期
0032,4,DW-1201020029,蔬果,根茎,0.5832,复购周期,你可能接近「根茎」的复购周期
0032,5,DW-1201020044,蔬果,根茎,0.483,复购周期,你可能接近「根茎」的复购周期
0032,6,DW-1518050007,日配,利乐枕纯奶,0.4939,复购周期,你可能接近「利乐枕纯奶」的复购周期
0032,7,DW-1201010019,蔬果,叶菜,0.6366,复购周期,你可能接近「叶菜」的复购周期
0032,8,DW-1201040026,蔬果,花果,0.6323,复购周期,你可能接近「花果」的复购周期
0032,9,DW-1201050011,蔬果,鲜调味,0.4202,图推荐,与你购买行为相似的顾客也常购买该商品
0032,10,DW-1201040036,蔬果,花果,0.6018,复购周期,你可能接近「花果」的复购周期
0034,1,DW-1521010005,日配,新鲜蛋品,0.587,复购周期,你可能接近「新鲜蛋品」的复购周期
0034,2,DW-1201010004,蔬果,叶菜,0.5116,复购周期,你可能接近「叶菜」的复购周期
0034,3,DW-1201020029,蔬果,根茎,0.4,复购周期,你可能接近「根茎」的复购周期
0034,4,DW-1201040035,蔬果,花果,0.6243,复购周期,你可能接近「花果」的复购周期
0034,5,DW-1201010020,蔬果,叶菜,0.3864,复购周期,你可能接近「叶菜」的复购周期
0034,6,DW-1308010191,熟食,现制蒸类,0.598,复购周期,你可能接近「现制蒸类」的复购周期
0034,7,DW-1203060093,蔬果,桃/李类,0.3769,图推荐,与你购买行为相似的顾客也常购买该商品
0034,8,DW-1201010005,蔬果,叶菜,0.5956,复购周期,你可能接近「叶菜」的复购周期
0034,9,DW-1201020013,蔬果,根茎,0.3964,复购周期,你可能接近「根茎」的复购周期
0034,10,DW-1201020045,蔬果,根茎,0.4598,复购周期,你可能接近「根茎」的复购周期
0036,1,DW-2006030214,粮油,常规面粉,0.6253,图推荐,与你购买行为相似的顾客也常购买该商品
0036,2,DW-1201020029,蔬果,根茎,0.7087,价格匹配,该商品符合你的常购价格带
0036,3,DW-1203030177,蔬果,梨类,0.6259,图推荐,与你购买行为相似的顾客也常购买该商品
0036,4,DW-1201060010,蔬果,菌菇类,0.6316,图推荐,与你购买行为相似的顾客也常购买该商品
0036,5,DW-1201060004,蔬果,菌菇类,0.6213,图推荐,与你购买行为相似的顾客也常购买该商品
0036,6,DW-1201010004,蔬果,叶菜,0.6352,图推荐,与你购买行为相似的顾客也常购买该商品
0036,7,DW-1203020172,蔬果,苹果类,0.5305,价格匹配,该商品符合你的常购价格带
0036,8,DW-1201010005,蔬果,叶菜,0.5386,价格匹配,该商品符合你的常购价格带
0036,9,DW-1518130011,日配,利乐砖乳酸菌,0.5583,价格匹配,该商品符合你的常购价格带
0036,10,DW-2009030002,粮油,绵白糖,0.573,价格匹配,该商品符合你的常购价格带
0037,1,DW-1203030155,蔬果,梨类,0.4914,复购周期,你可能接近「梨类」的复购周期
0037,2,DW-1203030177,蔬果,梨类,0.5769,复购周期,你可能接近「梨类」的复购周期
0037,3,DW-1201040035,蔬果,花果,0.638,复购周期,你可能接近「花果」的复购周期
0037,4,DW-2203020043,休闲,袋装薯片,0.3936,复购周期,你可能接近「袋装薯片」的复购周期
0037,5,DW-1201040049,蔬果,花果,0.4472,复购周期,你可能接近「花果」的复购周期
0037,6,DW-1201040010,蔬果,花果,0.3682,复购周期,你可能接近「花果」的复购周期
0037,7,DW-2309010072,酒饮,国产黄啤,0.3634,复购周期,你可能接近「国产黄啤」的复购周期
0037,8,DW-2203020007,休闲,袋装薯片,0.5723,复购周期,你可能接近「袋装薯片」的复购周期
0037,9,DW-2203020009,休闲,袋装薯片,0.3837,复购周期,你可能接近「袋装薯片」的复购周期
0037,10,DW-1201040026,蔬果,花果,0.3478,复购周期,你可能接近「花果」的复购周期
0038,1,DW-1201010005,蔬果,叶菜,0.4812,复购周期,你可能接近「叶菜」的复购周期
0038,2,DW-1201020045,蔬果,根茎,0.4259,复购周期,你可能接近「根茎」的复购周期
0038,3,DW-1201040010,蔬果,花果,0.6029,复购周期,你可能接近「花果」的复购周期
0038,4,DW-1201040035,蔬果,花果,0.3559,复购周期,你可能接近「花果」的复购周期
0038,5,DW-1201010395,蔬果,叶菜,0.6277,复购周期,你可能接近「叶菜」的复购周期
0038,6,DW-1201040027,蔬果,花果,0.6178,复购周期,你可能接近「花果」的复购周期
0038,7,DW-1201020721,蔬果,根茎,0.3421,复购周期,你可能接近「根茎」的复购周期
0038,8,DW-1201020029,蔬果,根茎,0.6237,复购周期,你可能接近「根茎」的复购周期
0038,9,DW-1201020013,蔬果,根茎,0.6147,复购周期,你可能接近「根茎」的复购周期
0038,10,DW-1521010005,日配,新鲜蛋品,0.5866,复购周期,你可能接近「新鲜蛋品」的复购周期
0039,1,DW-1521010005,日配,新鲜蛋品,0.6101,图推荐,与你购买行为相似的顾客也常购买该商品
0039,2,DW-1201040035,蔬果,花果,0.5404,复购周期,你可能接近「花果」的复购周期
0039,3,DW-1201020029,蔬果,根茎,0.5398,复购周期,你可能接近「根茎」的复购周期
0039,4,DW-1201040010,蔬果,花果,0.5996,复购周期,你可能接近「花果」的复购周期
0039,5,DW-1201020045,蔬果,根茎,0.4865,复购周期,你可能接近「根茎」的复购周期
0039,6,DW-1201040049,蔬果,花果,0.4379,复购周期,你可能接近「花果」的复购周期
0039,7,DW-1201020721,蔬果,根茎,0.5643,复购周期,你可能接近「根茎」的复购周期
0039,8,DW-1201040004,蔬果,花果,0.4244,复购周期,你可能接近「花果」的复购周期
0039,9,DW-1203020172,蔬果,苹果类,0.448,图推荐,与你购买行为相似的顾客也常购买该商品
0039,10,DW-1203130446,蔬果,其它水果,0.4073,图推荐,与你购买行为相似的顾客也常购买该商品
0042,1,DW-1521010005,日配,新鲜蛋品,0.6699,图推荐,与你购买行为相似的顾客也常购买该商品
0042,2,DW-1201040035,蔬果,花果,0.4989,价格匹配,该商品符合你的常购价格带
0042,3,DW-1203070022,蔬果,蕉类,0.4277,价格匹配,该商品符合你的常购价格带
0042,4,DW-1505020011,日配,冷藏加味酸乳,0.3823,价格匹配,该商品符合你的常购价格带
0042,5,DW-1201020029,蔬果,根茎,0.4494,价格匹配,该商品符合你的常购价格带
0042,6,DW-1521010002,日配,新鲜蛋品,0.3408,价格匹配,该商品符合你的常购价格带
0042,7,DW-1201040010,蔬果,花果,0.5273,价格匹配,该商品符合你的常购价格带
0042,8,DW-1201010004,蔬果,叶菜,0.454,价格匹配,该商品符合你的常购价格带
0042,9,DW-1521010001,日配,新鲜蛋品,0.4085,价格匹配,该商品符合你的常购价格带
0042,10,DW-1505020002,日配,冷藏加味酸乳,0.5132,价格匹配,该商品符合你的常购价格带
0043,1,DW-3016030007,洗化,无芯纸,0.5523,价格匹配,该商品符合你的常购价格带
0043,2,DW-1203090210,蔬果,进口水果,0.5034,价格匹配,该商品符合你的常购价格带
0043,3,DW-3016030106,洗化,无芯纸,0.4231,价格匹配,该商品符合你的常购价格带
0043,4,DW-1201020029,蔬果,根茎,0.4269,价格匹配,该商品符合你的常购价格带
0043,5,DW-1203070022,蔬果,蕉类,0.4699,价格匹配,该商品符合你的常购价格带
0043,6,DW-3016030107,洗化,无芯纸,0.6303,价格匹配,该商品符合你的常购价格带
0043,7,DW-3016030048,洗化,无芯纸,0.4635,价格匹配,该商品符合你的常购价格带
0043,8,DW-3016030118,洗化,无芯纸,0.4799,价格匹配,该商品符合你的常购价格带
0043,9,DW-3006020031,洗化,洗衣液,0.6356,价格匹配,该商品符合你的常购价格带
0043,10,DW-1201020721,蔬果,根茎,0.4553,价格匹配,该商品符合你的常购价格带
0046,1,DW-1201020029,蔬果,根茎,0.5582,价格匹配,该商品符合你的常购价格带
0046,2,DW-1201020013,蔬果,根茎,0.4593,价格匹配,该商品符合你的常购价格带
0046,3,DW-1201020721,蔬果,根茎,0.5854,价格匹配,该商品符合你的常购价格带
0046,4,DW-1201010005,蔬果,叶菜,0.3923,价格匹配,该商品符合你的常购价格带
0046,5,DW-1201020045,蔬果,根茎,0.4089,价格匹配,该商品符合你的常购价格带
0046,6,DW-1201010004,蔬果,叶菜,0.4811,价格匹配,该商品符合你的常购价格带
0046,7,DW-1201020044,蔬果,根茎,0.3688,价格匹配,该商品符合你的常购价格带
0046,8,DW-1201020042,蔬果,根茎,0.397,价格匹配,该商品符合你的常购价格带
0046,9,DW-1201020361,蔬果,根茎,0.4042,价格匹配,该商品符合你的常购价格带
0046,10,DW-1201010020,蔬果,叶菜,0.5483,价格匹配,该商品符合你的常购价格带
0047,1,DW-1203130446,蔬果,其它水果,0.6499,图推荐,与你购买行为相似的顾客也常购买该商品
0047,2,DW-2202020177,休闲,蛋糕,0.5173,复购周期,你可能接近「蛋糕」的复购周期
0047,3,DW-1201040035,蔬果,花果,0.4137,关联规则,与你近期购买商品强关联（花果）
0047,4,DW-1203070022,蔬果,蕉类,0.476,图推荐,与你购买行为相似的顾客也常购买该商品
0047,5,DW-1201020361,蔬果,根茎,0.6118,图推荐,与你购买行为相似的顾客也常购买该商品
0047,6,DW-1306030023,熟食,中式水产熟菜,0.538,复购周期,你可能接近「中式水产熟菜」的复购周期
0047,7,DW-1201040026,蔬果,花果,0.4263,复购周期,你可能接近「花果」的复购周期
0047,8,DW-1202058042,蔬果,豆类料理,0.4806,复购周期,你可能接近「豆类料理」的复购周期
0047,9,DW-1203130449,蔬果,其它水果,0.4359,复购周期,你可能接近「其它水果」的复购周期
0047,10,DW-1205010021,蔬果,咸菜干货,0.441,复购周期,你可能接近「咸菜干货」的复购周期
0049,1,DW-1201040035,蔬果,花果,0.4678,复购周期,你可能接近「花果」的复购周期
0049,2,DW-1203020172,蔬果,苹果类,0.7074,复购周期,你可能接近「苹果类」的复购周期
0049,3,DW-1201020029,蔬果,根茎,0.6488,复购周期,你可能接近「根茎」的复购周期
0049,4,DW-1201040049,蔬果,花果,0.6334,复购周期,你可能接近「花果」的复购周期
0049,5,DW-1201020045,蔬果,根茎,0.4467,复购周期,你可能接近「根茎」的复购周期
0049,6,DW-1201040027,蔬果,花果,0.3831,复购周期,你可能接近「花果」的复购周期
0049,7,DW-1201010023,蔬果,叶菜,0.6487,复购周期,你可能接近「叶菜」的复购周期
0049,8,DW-1201020361,蔬果,根茎,0.5206,复购周期,你可能接近「根茎」的复购周期
0049,9,DW-1201020042,蔬果,根茎,0.5851,复购周期,你可能接近「根茎」的复购周期
0049,10,DW-1201020721,蔬果,根茎,0.6181,复购周期,你可能接近「根茎」的复购周期
0050,1,DW-1203070022,蔬果,蕉类,0.659,图推荐,与你购买行为相似的顾客也常购买该商品
0050,2,DW-1203020172,蔬果,苹果类,0.6991,图推荐,与你购买行为相似的顾客也常购买该商品
0050,3,DW-1301010076,熟食,凉拌素食,0.6691,图推荐,与你购买行为相似的顾客也常购买该商品
0050,4,DW-1201040035,蔬果,花果,0.5873,价格匹配,该商品符合你的常购价格带
0050,5,DW-1308010191,熟食,现制蒸类,0.5405,图推荐,与你购买行为相似的顾客也常购买该商品
0050,6,DW-1203090210,蔬果,进口水果,0.5833,价格匹配,该商品符合你的常购价格带
0050,7,DW-1202018267,蔬果,豆腐,0.5363,图推荐,与你购买行为相似的顾客也常购买该商品
0050,8,DW-1518130011,日配,利乐砖乳酸菌,0.568,图推荐,与你购买行为相似的顾客也常购买该商品
0050,9,DW-1201020045,蔬果,根茎,0.5751,价格匹配,该商品符合你的常购价格带
0050,10,DW-1518050001,日配,利乐枕纯奶,0.5463,价格匹配,该商品符合你的常购价格带
0051,1,DW-1201020045,蔬果,根茎,0.6771,复购周期,你可能接近「根茎」的复购周期
0051,2,DW-1201020029,蔬果,根茎,0.6888,复购周期,你可能接近「根茎」的复购周期
0051,3,DW-1201020721,蔬果,根茎,0.7306,复购周期,你可能接近「根茎」的复购周期
0051,4,DW-1201020361,蔬果,根茎,0.7792,复购周期,你可能接近「根茎」的复购周期
0051,5,DW-1201010020,蔬果,叶菜,0.5704,复购周期,你可能接近「叶菜」的复购周期
0051,6,DW-1201020017,蔬果,根茎,0.729,复购周期,你可能接近「根茎」的复购周期
0051,7,DW-1201020044,蔬果,根茎,0.7451,复购周期,你可能接近「根茎」的复购周期
0051,8,DW-1201090311,蔬果,其它蔬菜,0.7568,复购周期,你可能接近「其它蔬菜」的复购周期
0051,9,DW-1201020013,蔬果,根茎,0.7756,复购周期,你可能接近「根茎」的复购周期
0051,10,DW-1201010395,蔬果,叶菜,0.5948,复购周期,你可能接近「叶菜」的复购周期
0052,1,DW-1201020361,蔬果,根茎,0.7228,复购周期,你可能接近「根茎」的复购周期
0052,2,DW-2203060010,休闲,综合包,0.626,复购周期,你可能接近「综合包」的复购周期
0052,3,DW-1201020029,蔬果,根茎,0.4061,复购周期,你可能接近「根茎」的复购周期
