item_id,cat_l1_name,cat_l2_name,cat_l3_name,cat_l3_code,item_type,unit,spec,销售金额,销售数量,销售笔数,平均单价,购买人数,复购率,复购率_平滑,促销占比,price_rank,price_band,综合热度,热度排名
DW-1001020106,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,289.04,14.598,23,19.8,23,0.0,0.0314,0.0,0.1667,低价带,0.384,461
DW-1001020107,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,54.0,1.35,6,40.0,5,0.2,0.1357,0.0,0.6667,中价带,0.3139,1125
DW-1001020108,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,230.79,3.606,6,64.0,6,0.0,0.0647,0.0,1.0,高价带,0.3264,948
DW-1001030041,肉禽,猪肉,猪肉丝馅片,100103,生鲜,千克,散称,499.27,16.754,41,29.8,39,0.0513,0.062,0.0,1.0,高价带,0.441,239
DW-1001040125,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,5948.88,142.318,119,41.8,104,0.1346,0.1319,0.0,0.875,高价带,0.6268,41
DW-1001040126,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,560.6,11.728,8,47.8,7,0.1429,0.1198,0.0,1.0,高价带,0.4174,304
DW-1001040129,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,105.37,6.754,6,15.6,6,0.0,0.0647,0.0,0.125,低价带,0.3068,1251
DW-1001040131,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,486.1,20.424,13,23.8,12,0.0833,0.0925,0.0,0.375,中价带,0.4205,293
DW-1001040132,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,259.7,7.42,7,35.0,6,0.1667,0.1272,0.0,0.75,高价带,0.3862,450
DW-1001040133,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,272.14,10.548,8,25.8,8,0.0,0.0576,0.0,0.625,中价带,0.3528,670
DW-1001040134,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,116.22,5.87,6,19.8,5,0.2,0.1357,0.0,0.25,低价带,0.3575,638
DW-1001040135,肉禽,猪肉,猪骨,100104,生鲜,千克,散称,104.91,4.098,4,25.6,3,0.3333,0.1566,0.0,0.5,中价带,0.3549,659
DW-1001050039,肉禽,猪肉,调味猪肉,100105,生鲜,千克,散称,0.02,0.001,1,19.6,1,0.0,0.0942,0.0,1.0,高价带,0.1203,6138
DW-1002020061,肉禽,牛肉,熟牛肉,100202,生鲜,千克,散称,1155.84,14.448,25,80.0,21,0.1429,0.1302,0.0,1.0,高价带,0.4902,166
DW-1002030010,肉禽,牛肉,牛下水,100203,生鲜,千克,散称,99.88,2.27,7,44.0,7,0.0,0.0609,0.0,1.0,高价带,0.2926,1466
DW-1004010015,肉禽,鸡产品,整鸡,100401,生鲜,只,只,140.4,13.0,10,10.8,9,0.1111,0.1072,0.0,1.0,高价带,0.373,529
DW-1004020001,肉禽,鸡产品,分割鸡件,100402,生鲜,千克,散称,1823.29,50.93,78,35.8,63,0.1429,0.1375,0.0,1.0,高价带,0.575,67
DW-1004020002,肉禽,鸡产品,分割鸡件,100402,生鲜,千克,散称,388.96,20.472,29,19.0,29,0.0,0.0266,0.0,0.6,中价带,0.4045,369
DW-1004020003,肉禽,鸡产品,分割鸡件,100402,生鲜,千克,散称,141.28,8.027,16,17.6,16,0.0,0.0398,0.0,0.3,低价带,0.3418,769
DW-1004020004,肉禽,鸡产品,分割鸡件,100402,生鲜,千克,散称,52.63,2.99,12,17.6,11,0.0909,0.0969,0.0,0.3,低价带,0.315,1111
DW-1004020007,肉禽,鸡产品,分割鸡件,100402,生鲜,千克,散称,102.45,4.002,7,25.6,7,0.0,0.0609,0.0,0.8,高价带,0.3004,1368
DW-1004040019,肉禽,鸡产品,调味鸡肉,100404,生鲜,千克,散称,647.43,33.032,71,19.6,55,0.2364,0.2159,0.0,1.0,高价带,0.6141,46
DW-1005020002,肉禽,鸭产品,分割鸭件,100502,生鲜,千克,散称,89.91,7.62,8,11.8,8,0.0,0.0576,0.0,1.0,高价带,0.3085,1213
DW-1005030001,肉禽,鸭产品,鸭内脏,100503,生鲜,千克,散称,30.09,0.952,2,31.6,2,0.0,0.0863,0.0,1.0,高价带,0.2241,3166
DW-1005040005,肉禽,鸭产品,加工鸭肉,100504,生鲜,千克,散称,13.16,0.572,1,23.0,1,0.0,0.0942,0.0,0.8333,高价带,0.1907,4584
DW-1005040006,肉禽,鸭产品,加工鸭肉,100504,生鲜,千克,散称,122.81,5.34,14,23.0,10,0.2,0.1518,0.0,0.8333,高价带,0.3962,406
DW-1005040011,肉禽,鸭产品,加工鸭肉,100504,生鲜,盒,300g,8.0,5.0,5,1.6,4,0.25,0.1454,0.0,0.3333,低价带,0.2774,1729
DW-1006010053,肉禽,腌腊制品,腌腊畜类,100601,一般商品,袋,250克,24.9,1.0,1,24.9,1,0.0,0.0942,0.0,1.0,高价带,0.2169,3477
DW-1006040024,肉禽,腌腊制品,腌腊香肠,100604,生鲜,千克,散称,46.32,1.164,4,39.8,4,0.0,0.074,0.0,1.0,高价带,0.2479,2375
DW-1006040072,肉禽,腌腊制品,腌腊香肠,100604,一般商品,袋,500克,37.9,1.0,1,37.9,1,0.0,0.0942,0.0,0.6667,中价带,0.233,2865
DW-1006040075,肉禽,腌腊制品,腌腊香肠,100604,一般商品,袋,500克,38.9,1.0,1,38.9,1,0.0,0.0942,0.0,0.8333,高价带,0.234,2842
DW-1006040080,肉禽,腌腊制品,腌腊香肠,100604,一般商品,袋,300克,59.8,2.0,2,29.9,2,0.0,0.0863,0.0,0.5,中价带,0.2572,2150
DW-1006040084,肉禽,腌腊制品,腌腊香肠,100604,一般商品,袋,268克,43.8,2.0,2,21.9,2,0.0,0.0863,0.0,0.3333,低价带,0.2449,2463
DW-1006040088,肉禽,腌腊制品,腌腊香肠,100604,一般商品,袋,200克,9.9,1.0,1,9.9,1,0.0,0.0942,0.0,0.1667,低价带,0.1836,4870
DW-1007030003,肉禽,加工肉类,冷冻畜类,100703,生鲜,千克,散称,248.61,6.278,2,39.6,2,0.0,0.0863,0.0,1.0,高价带,0.3257,956
DW-1007050013,肉禽,加工肉类,冷冻加工肉类,100705,生鲜,千克,散称,9.24,0.358,2,25.8,2,0.0,0.0863,0.0,1.0,高价带,0.1756,5233
DW-1099030001,肉禽,肉禽原料,肉禽包装原料,109903,生鲜,千克,散称,95.49,3.41,10,28.0,6,0.1667,0.1272,0.0,1.0,高价带,0.3408,778
DW-1101040026,水产,冰鲜水产,海水冰鲜,110104,生鲜,千克,散称,132.72,4.424,6,30.0,6,0.0,0.0647,0.0,1.0,高价带,0.3087,1206
DW-1101040038,水产,冰鲜水产,海水冰鲜,110104,生鲜,千克,散称,9.97,0.59,2,16.9,2,0.0,0.0863,0.0,0.5,中价带,0.1798,5066
DW-1101040039,水产,冰鲜水产,海水冰鲜,110104,生鲜,千克,散称,3.85,0.228,1,16.9,1,0.0,0.0942,0.0,0.5,中价带,0.1507,5946
DW-1101060011,水产,冰鲜水产,虾类,110106,生鲜,袋,180g,32.9,1.0,1,32.9,1,0.0,0.0942,0.0,1.0,高价带,0.2275,3039
DW-1101060012,水产,冰鲜水产,虾类,110106,生鲜,袋,180g,25.9,1.0,1,25.9,1,0.0,0.0942,0.0,0.5,中价带,0.2184,3387
DW-1101060013,水产,冰鲜水产,虾类,110106,生鲜,袋,180g,117.0,6.0,6,19.5,6,0.0,0.0647,0.0,0.25,低价带,0.3087,1209
DW-1101060016,水产,冰鲜水产,虾类,110106,生鲜,袋,260g,30.75,1.0,1,30.75,1,0.0,0.0942,0.0,0.75,高价带,0.2249,3124
DW-1101070015,水产,冰鲜水产,贝蛤类,110107,生鲜,千克,散称,608.04,20.268,22,30.0,17,0.2353,0.1865,0.0,0.8333,高价带,0.5216,116
DW-1101070017,水产,冰鲜水产,贝蛤类,110107,生鲜,千克,散称,566.55,18.885,46,30.0,39,0.1026,0.1028,0.0,0.8333,高价带,0.4775,180
DW-1101070028,水产,冰鲜水产,贝蛤类,110107,生鲜,千克,散称,0.35,0.352,1,1.0,1,0.0,0.0942,0.0,0.3333,低价带,0.1239,6135
DW-1102010002,水产,冷冻水产,冷冻海鱼,110201,生鲜,千克,散称,184.34,23.101,21,7.98,20,0.05,0.0679,0.0,0.3,低价带,0.3952,409
DW-1102010003,水产,冷冻水产,冷冻海鱼,110201,生鲜,千克,散称,165.2,8.428,9,19.6,8,0.125,0.1131,0.0,0.8,高价带,0.371,547
DW-1102010004,水产,冷冻水产,冷冻海鱼,110201,生鲜,千克,散称,6.85,0.858,1,7.98,1,0.0,0.0942,0.0,0.3,低价带,0.1709,5408
DW-1102010005,水产,冷冻水产,冷冻海鱼,110201,生鲜,千克,散称,124.23,6.15,4,20.2,3,0.3333,0.1566,0.0,1.0,高价带,0.3663,577
DW-1102010010,水产,冷冻水产,冷冻海鱼,110201,生鲜,千克,散称,30.99,3.162,3,9.8,3,0.0,0.0797,0.0,0.6,中价带,0.2394,2634
DW-1102030005,水产,冷冻水产,冷冻虾蟹,110203,生鲜,千克,散称,222.2,6.988,15,31.8,13,0.0769,0.0885,0.0,1.0,高价带,0.3766,506
DW-1102040002,水产,冷冻水产,冷冻软足体,110204,生鲜,千克,散称,51.48,2.6,3,19.8,3,0.0,0.0797,0.0,0.75,高价带,0.2566,2169
DW-1102040008,水产,冷冻水产,冷冻软足体,110204,生鲜,千克,散称,4.3,4.288,8,1.0,6,0.3333,0.1897,0.0,0.25,低价带,0.3264,947
DW-1102040009,水产,冷冻水产,冷冻软足体,110204,生鲜,千克,散称,5.15,0.368,1,14.0,1,0.0,0.0942,0.0,0.5,中价带,0.1592,5757
DW-1102040010,水产,冷冻水产,冷冻软足体,110204,生鲜,盒,盒,22.0,1.0,1,22.0,1,0.0,0.0942,0.0,1.0,高价带,0.2122,3649
DW-1103010066,水产,干货水产,干货鱼类,110301,生鲜,千克,散称,110.7,3.69,5,30.0,4,0.25,0.1454,0.0,1.0,高价带,0.3517,673
DW-1103010078,水产,干货水产,干货鱼类,110301,生鲜,千克,散称,100.67,5.656,7,17.8,4,0.75,0.2883,0.0,0.5,中价带,0.4874,168
DW-1103020019,水产,干货水产,干货虾蟹贝类,110302,生鲜,千克,散称,36.12,0.456,2,79.2,2,0.0,0.0863,0.0,1.0,高价带,0.2283,3026
DW-1103020061,水产,干货水产,干货虾蟹贝类,110302,生鲜,千克,散称,141.66,4.722,14,30.0,14,0.0,0.0432,0.0,0.5,中价带,0.3303,895
DW-1103020066,水产,干货水产,干货虾蟹贝类,110302,生鲜,千克,散称,28.62,0.954,4,30.0,4,0.0,0.074,0.0,0.5,中价带,0.2275,3044
DW-1103040081,水产,干货水产,干货软足类,110304,生鲜,千克,散称,0.21,0.212,1,1.0,1,0.0,0.0942,0.0,1.0,高价带,0.1221,6137
DW-1104020002,水产,加工水产,水产配菜,110402,生鲜,袋,250g,31.5,2.0,2,15.75,2,0.0,0.0863,0.0,0.875,高价带,0.232,2905
DW-1104020003,水产,加工水产,水产配菜,110402,生鲜,袋,250g,67.5,5.0,5,13.5,3,0.3333,0.1566,0.0,0.375,中价带,0.3437,748
DW-1104020004,水产,加工水产,水产配菜,110402,生鲜,袋,250g,13.5,1.0,1,13.5,1,0.0,0.0942,0.0,0.375,中价带,0.1943,4437
DW-1104020006,水产,加工水产,水产配菜,110402,生鲜,袋,250g,15.75,1.0,1,15.75,1,0.0,0.0942,0.0,0.875,高价带,0.1999,4191
DW-1201010001,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,235.89,42.393,155,5.56,112,0.2232,0.2134,0.0,0.4444,中价带,0.6197,42
DW-1201010004,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,803.43,144.362,287,5.6,195,0.2821,0.2733,0.0,0.5,中价带,0.7662,9
DW-1201010005,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,678.59,118.102,243,5.8,183,0.2131,0.2074,0.0,0.5556,中价带,0.6832,16
DW-1201010006,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,120.4,10.318,96,12.0,74,0.1351,0.1314,0.0,0.9722,高价带,0.4756,182
DW-1201010008,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,7.35,1.855,6,3.96,5,0.2,0.1357,0.0,0.2222,低价带,0.2573,2147
DW-1201010009,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,39.4,5.979,18,6.56,17,0.0588,0.0754,0.0,0.75,高价带,0.3194,1048
DW-1201010010,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,24.01,2.412,6,9.96,6,0.0,0.0647,0.0,0.8889,高价带,0.2362,2745
DW-1201010012,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,102.37,26.026,28,3.96,27,0.037,0.055,0.0,0.3056,低价带,0.3844,460
DW-1201010018,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,559.8,48.997,116,12.0,88,0.2045,0.1942,0.0,0.9722,高价带,0.6175,44
DW-1201010019,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,646.45,321.405,230,1.96,166,0.2048,0.1991,0.0,0.0556,低价带,0.6883,13
DW-1201010020,蔬果,蔬菜,叶菜,120101,生鲜,包,未知规格,690.28,143.0,118,4.98,97,0.134,0.1312,0.0,0.3889,中价带,0.5827,65
DW-1201010021,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,461.6,71.238,169,6.56,125,0.248,0.2373,0.0,0.75,高价带,0.6796,18
DW-1201010022,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,7.19,0.798,2,9.0,2,0.0,0.0863,0.0,0.8333,高价带,0.1701,5438
DW-1201010023,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,466.79,180.051,236,2.56,174,0.1839,0.1795,0.0,0.1389,低价带,0.6492,26
DW-1201010025,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,169.35,42.417,103,3.96,72,0.1944,0.1834,0.0,0.3056,低价带,0.5621,73
DW-1201010028,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,3.11,0.522,2,5.96,2,0.0,0.0863,0.0,0.6111,中价带,0.1445,6055
DW-1201010029,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,185.85,72.159,48,2.56,40,0.125,0.1207,0.0,0.1389,低价带,0.4902,165
DW-1201010395,蔬果,蔬菜,叶菜,120101,生鲜,千克,散称,437.89,73.215,165,6.0,120,0.2,0.1926,0.0,0.6667,中价带,0.6304,38
DW-1201020002,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,8.67,0.556,1,15.6,1,0.0,0.0942,0.0,0.8438,高价带,0.1763,5174
DW-1201020005,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,88.26,13.439,20,6.56,18,0.1111,0.1084,0.0,0.5781,中价带,0.3877,444
DW-1201020006,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,2.22,1.245,2,1.78,2,0.0,0.0863,0.0,0.0312,低价带,0.1432,6061
DW-1201020008,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,238.9,41.371,126,5.8,101,0.1386,0.1355,0.0,0.5312,中价带,0.538,96
DW-1201020010,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,229.51,62.176,114,3.8,96,0.1354,0.1324,0.0,0.25,低价带,0.5402,94
DW-1201020011,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,738.55,47.802,83,16.0,64,0.2344,0.2167,0.0,0.875,高价带,0.6337,37
DW-1201020013,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,462.29,115.054,239,4.0,187,0.1818,0.1778,0.0,0.4375,中价带,0.6409,33
DW-1201020015,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,1.6,0.804,2,2.0,2,0.0,0.0863,0.0,0.125,低价带,0.1342,6126
DW-1201020017,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,311.16,116.788,171,2.56,127,0.2047,0.1973,0.0,0.2031,低价带,0.6382,36
DW-1201020018,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,338.4,60.127,94,5.56,71,0.1549,0.1486,0.0,0.5,中价带,0.5533,78
DW-1201020022,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,764.22,119.018,151,6.56,117,0.2308,0.2208,0.0,0.5781,中价带,0.6854,15
DW-1201020025,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,210.05,81.69,76,2.56,60,0.2,0.1862,0.0,0.2031,低价带,0.5775,66
DW-1201020026,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,110.75,44.393,57,2.56,50,0.12,0.1173,0.0,0.1562,低价带,0.4723,190
DW-1201020027,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,4.29,0.63,3,6.8,3,0.0,0.0797,0.0,0.625,中价带,0.1554,5871
DW-1201020029,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,989.68,249.333,268,3.96,202,0.1832,0.1794,0.0,0.3281,低价带,0.6774,20
DW-1201020032,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,276.15,35.107,66,7.96,54,0.1481,0.1412,0.0,0.7188,高价带,0.5181,121
DW-1201020034,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,930.78,32.901,44,30.0,30,0.2667,0.2259,0.0,0.9375,高价带,0.6049,51
DW-1201020037,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,240.37,58.503,150,3.96,117,0.1795,0.1735,0.0,0.3281,低价带,0.5886,60
DW-1201020038,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,5.33,0.592,2,9.0,2,0.0,0.0863,0.0,0.7812,高价带,0.1593,5756
DW-1201020039,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,8.26,0.86,3,9.6,3,0.0,0.0797,0.0,0.8125,高价带,0.1772,5150
DW-1201020040,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,139.49,70.686,92,1.96,74,0.1622,0.1552,0.0,0.0938,低价带,0.5407,93
DW-1201020042,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,371.92,46.648,106,7.8,91,0.1209,0.1192,0.0,0.6875,高价带,0.5324,105
DW-1201020043,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,201.43,109.565,125,1.8,94,0.1383,0.135,0.0,0.0625,低价带,0.5495,83
DW-1201020044,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,392.26,97.886,141,3.96,113,0.1593,0.1548,0.0,0.3281,低价带,0.5915,59
DW-1201020045,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,667.84,88.805,162,7.6,130,0.1462,0.1431,0.0,0.6562,中价带,0.5957,54
DW-1201020361,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,2949.59,55.284,77,56.0,65,0.1385,0.1338,0.0,0.9688,高价带,0.584,64
DW-1201020362,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,69.79,16.736,30,3.98,26,0.1154,0.1121,0.0,0.4062,中价带,0.4047,368
DW-1201020365,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,187.34,46.012,70,3.96,54,0.1852,0.1724,0.0,0.3281,低价带,0.5435,86
DW-1201020510,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,7.87,0.894,1,8.8,1,0.0,0.0942,0.0,0.75,高价带,0.1754,5248
DW-1201020721,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,589.05,122.403,233,5.0,172,0.2093,0.2035,0.0,0.4688,中价带,0.6739,23
DW-1201020722,蔬果,蔬菜,根茎,120102,生鲜,千克,散称,1019.46,52.435,134,20.0,104,0.2115,0.2021,0.0,0.9062,高价带,0.6487,27
DW-1201020724,蔬果,蔬菜,根茎,120102,生鲜,千克,未知规格,63.42,1.218,3,60.0,3,0.0,0.0797,0.0,1.0,高价带,0.2578,2131
DW-1201030001,蔬果,蔬菜,芽菜,120103,生鲜,千克,散称,66.94,37.405,85,1.76,72,0.1389,0.1346,0.0,0.6667,中价带,0.4866,170
DW-1201030002,蔬果,蔬菜,芽菜,120103,生鲜,千克,散称,88.8,32.295,65,2.78,60,0.05,0.0577,0.0,1.0,高价带,0.4216,290
DW-1201030018,蔬果,蔬菜,芽菜,120103,生鲜,千克,散称,93.22,61.022,123,1.48,101,0.1386,0.1355,0.0,0.3333,低价带,0.5207,118
DW-1201040002,蔬果,蔬菜,花果,120104,生鲜,千克,散称,69.43,11.968,24,5.8,24,0.0,0.0305,0.0,0.4286,中价带,0.3394,796
DW-1201040003,蔬果,蔬菜,花果,120104,生鲜,千克,散称,24.46,3.832,30,4.98,26,0.1154,0.1121,0.0,0.2857,低价带,0.3481,707
DW-1201040004,蔬果,蔬菜,花果,120104,生鲜,千克,散称,521.18,88.079,164,5.8,130,0.1692,0.1645,0.0,0.4286,中价带,0.6119,47
DW-1201040006,蔬果,蔬菜,花果,120104,生鲜,千克,散称,60.52,12.088,15,5.56,14,0.0714,0.0848,0.0,0.3429,中价带,0.344,745
DW-1201040007,蔬果,蔬菜,花果,120104,生鲜,千克,散称,6.33,0.66,3,9.6,3,0.0,0.0797,0.0,0.7857,高价带,0.1671,5547
DW-1201040008,蔬果,蔬菜,花果,120104,生鲜,千克,散称,47.83,7.35,22,6.56,19,0.1579,0.1392,0.0,0.5286,中价带,0.3873,446
DW-1201040010,蔬果,蔬菜,花果,120104,生鲜,千克,散称,1106.5,394.589,556,2.58,363,0.2727,0.2682,0.0,0.1714,低价带,0.8094,4
DW-1201040011,蔬果,蔬菜,花果,120104,生鲜,千克,散称,88.55,19.416,16,4.56,16,0.0,0.0398,0.0,0.2571,低价带,0.3432,752
DW-1201040016,蔬果,蔬菜,花果,120104,生鲜,千克,散称,91.21,54.582,88,1.6,67,0.1791,0.1693,0.0,0.0571,低价带,0.5329,104
DW-1201040017,蔬果,蔬菜,花果,120104,生鲜,千克,散称,1.25,0.21,1,5.96,1,0.0,0.0942,0.0,0.4857,中价带,0.1307,6127
DW-1201040018,蔬果,蔬菜,花果,120104,生鲜,千克,散称,118.02,15.232,48,7.6,38,0.1579,0.1466,0.0,0.6,中价带,0.4664,196
DW-1201040019,蔬果,蔬菜,花果,120104,生鲜,千克,散称,7.39,0.972,1,7.6,1,0.0,0.0942,0.0,0.6,中价带,0.174,5272
DW-1201040021,蔬果,蔬菜,花果,120104,生鲜,千克,散称,27.26,3.586,5,7.6,5,0.0,0.0691,0.0,0.6,中价带,0.2429,2512
DW-1201040022,蔬果,蔬菜,花果,120104,生鲜,千克,散称,368.28,63.3,119,5.6,104,0.1058,0.1056,0.0,0.3714,中价带,0.5307,106
DW-1201040024,蔬果,蔬菜,花果,120104,生鲜,千克,散称,26.16,3.988,5,6.56,5,0.0,0.0691,0.0,0.5286,中价带,0.243,2503
DW-1201040026,蔬果,蔬菜,花果,120104,生鲜,千克,散称,754.2,343.248,512,1.98,347,0.2536,0.2494,0.0,0.1143,低价带,0.7724,8
DW-1201040027,蔬果,蔬菜,花果,120104,生鲜,千克,散称,519.66,53.99,107,9.96,92,0.1087,0.1082,0.0,0.8286,高价带,0.5338,100
DW-1201040029,蔬果,蔬菜,花果,120104,生鲜,千克,散称,4.62,1.804,3,2.56,1,1.0,0.1851,0.0,0.1429,低价带,0.2789,1699
DW-1201040030,蔬果,蔬菜,花果,120104,生鲜,千克,散称,45.97,3.831,3,12.0,3,0.0,0.0797,0.0,0.8857,高价带,0.2574,2143
DW-1201040031,蔬果,蔬菜,花果,120104,生鲜,千克,散称,199.26,62.398,64,3.16,50,0.14,0.1339,0.0,0.2,低价带,0.5109,129
DW-1201040033,蔬果,蔬菜,花果,120104,生鲜,千克,散称,112.75,5.125,6,22.0,6,0.0,0.0647,0.0,1.0,高价带,0.3048,1294
DW-1201040034,蔬果,蔬菜,花果,120104,生鲜,千克,散称,13.55,2.71,6,5.0,6,0.0,0.0647,0.0,0.3143,低价带,0.2174,3443
DW-1201040035,蔬果,蔬菜,花果,120104,生鲜,千克,散称,1574.28,164.728,488,9.6,335,0.2836,0.2784,0.0,0.7857,高价带,0.8086,5
DW-1201040036,蔬果,蔬菜,花果,120104,生鲜,千克,散称,193.58,101.06,125,1.8,100,0.13,0.1276,0.0,0.0857,低价带,0.5423,91
DW-1201040038,蔬果,蔬菜,花果,120104,生鲜,千克,散称,287.54,23.855,45,12.0,35,0.1714,0.1564,0.0,0.8857,高价带,0.5068,139
DW-1201040042,蔬果,蔬菜,花果,120104,生鲜,千克,散称,318.92,41.299,89,7.8,79,0.1013,0.1015,0.0,0.6571,中价带,0.5048,143
DW-1201040043,蔬果,蔬菜,花果,120104,生鲜,千克,散称,56.36,5.914,31,9.0,29,0.069,0.0778,0.0,0.7429,高价带,0.3578,635
DW-1201040047,蔬果,蔬菜,花果,120104,生鲜,千克,散称,4.18,0.536,2,7.8,2,0.0,0.0863,0.0,0.6857,高价带,0.152,5941
DW-1201040048,蔬果,蔬菜,花果,120104,生鲜,千克,散称,13.4,2.154,5,3.96,4,0.25,0.1454,0.0,0.2286,低价带,0.2789,1704
DW-1201040049,蔬果,蔬菜,花果,120104,生鲜,千克,散称,695.46,121.697,186,5.8,154,0.1558,0.1527,0.0,0.4286,中价带,0.6184,43
DW-1201040051,蔬果,蔬菜,花果,120104,生鲜,千克,散称,74.5,9.356,49,7.96,42,0.119,0.1161,0.0,0.7143,高价带,0.4212,291
DW-1201040052,蔬果,蔬菜,花果,120104,生鲜,千克,散称,336.75,21.355,49,16.0,43,0.1163,0.1139,0.0,0.9429,高价带,0.479,178
DW-1201040053,蔬果,蔬菜,花果,120104,生鲜,千克,散称,212.62,18.576,26,12.0,17,0.3529,0.2606,0.0,0.8857,高价带,0.5585,76
DW-1201040054,蔬果,蔬菜,花果,120104,生鲜,个,未知规格,22.5,15.0,8,1.5,8,0.0,0.0576,0.0,0.0286,低价带,0.2757,1754
