user_id,R_最近购买间隔,F_购买频次,M_消费金额,记录数,客单价,平均件单价,占比_蔬果,占比_休闲,占比_粮油,占比_日配,占比_洗化,占比_酒饮,占比_肉禽,占比_熟食,类目熵,小类购买数,生鲜占比,促销金额占比,促销频次占比,促销敏感度,低价带占比,高价带占比,偏好价格分位,退货率,复购紧迫度均值,平均复购周期
0027,118,2,81.59,7,40.795,13.2408,0.0212,0.3096,0.0,0.0,0.4854,0.0,0.0,0.0,1.5866,6,0.0212,0.0,0.0,0.0,0.375,0.4934,0.6038,0.0,0.0,26.0
0028,119,1,13.9,2,13.9,6.95,0.0,0.0,0.0,0.0,0.7122,0.2878,0.0,0.0,0.6001,2,0.0,0.0,0.0,0.0,0.0,0.7122,0.7033,0.0,0.0,26.0
0029,119,1,20.5,3,20.5,6.8333,0.0,0.4146,0.0,0.0,0.5854,0.0,0.0,0.0,0.6785,2,0.0,0.3659,0.3333,0.3509,0.6341,0.0,0.3976,0.0,0.0,26.0
0030,119,1,53.02,3,53.02,20.3298,0.1833,0.5338,0.0,0.0,0.0,0.2829,0.0,0.0,1.0033,3,0.1833,0.5338,0.3333,0.4418,0.0,0.7171,0.7285,0.0,0.0,26.0
0031,5,12,603.87,114,50.3225,6.9016,0.1819,0.2093,0.0875,0.2016,0.0826,0.0916,0.0777,0.0181,3.7958,67,0.3371,0.1985,0.1316,0.1678,0.371,0.4,0.5254,0.0,1.4459,40.5912
0032,18,22,1182.86,161,53.7664,5.9444,0.2642,0.0,0.1074,0.1917,0.2595,0.0066,0.109,0.0047,3.2227,47,0.3947,0.3127,0.118,0.2233,0.2819,0.5182,0.5796,0.0062,2.8308,25.5625
0033,119,1,219.7,9,219.7,9.1542,0.0,0.0519,0.0,0.1966,0.0,0.0,0.0,0.0,1.6926,7,0.0,0.0,0.0,0.0,0.1457,0.3623,0.5656,0.0,0.0,26.0
0034,11,31,1018.41,128,32.8519,8.3239,0.2369,0.2734,0.1135,0.0915,0.2128,0.0135,0.0,0.0257,3.8921,75,0.2439,0.3798,0.3203,0.3525,0.1791,0.4855,0.6293,0.0078,3.3621,27.9792
0035,119,1,80.92,12,80.92,6.1007,0.0195,0.1866,0.4622,0.3317,0.0,0.0,0.0,0.0,1.7282,8,0.0195,0.0,0.0,0.0,0.4723,0.3485,0.4532,0.0,0.0,26.0
0036,11,2,186.82,13,93.41,7.661,0.0,0.2473,0.3148,0.0,0.4379,0.0,0.0,0.0,2.3995,13,0.0,0.3345,0.3077,0.3222,0.1986,0.3902,0.5647,0.0,0.0,26.0
0037,29,9,408.26,53,45.3622,5.4989,0.1505,0.1362,0.0573,0.1751,0.0,0.2422,0.2108,0.0,2.9662,33,0.3891,0.0696,0.0755,0.0723,0.3024,0.467,0.5688,0.0,7.2545,23.2308
0038,7,10,474.82,49,47.482,12.4311,0.4058,0.1259,0.2036,0.0549,0.0651,0.0459,0.0988,0.0,3.0116,26,0.5046,0.1568,0.0816,0.1223,0.1442,0.5994,0.6884,0.0,2.8319,41.6667
0039,9,27,516.33,82,19.1233,7.074,0.368,0.1162,0.1188,0.1848,0.0459,0.0045,0.0,0.0206,3.2677,42,0.4795,0.2558,0.1951,0.228,0.2966,0.4373,0.5451,0.012,2.3263,22.2971
0040,71,3,336.5,20,112.1667,17.6511,0.0514,0.1233,0.0517,0.2282,0.2244,0.0,0.0,0.0,2.5108,18,0.0514,0.7233,0.45,0.5979,0.0603,0.7409,0.7328,0.0,0.0,26.0
0041,72,3,78.56,10,26.1867,9.7493,0.7846,0.1387,0.0,0.0766,0.0,0.0,0.0,0.0,1.4469,6,0.7846,0.0,0.0,0.0,0.0988,0.2052,0.4887,0.0,28.75,4.0
0042,27,2,124.46,16,62.23,9.1542,0.2113,0.0938,0.1197,0.4073,0.0,0.0956,0.0,0.0,2.3903,14,0.2835,0.1814,0.125,0.1555,0.113,0.6871,0.7467,0.0,0.2935,92.0
0043,20,6,217.83,17,36.305,13.5323,0.0516,0.0477,0.0344,0.0,0.6831,0.0271,0.0,0.0,2.4332,15,0.0516,0.3021,0.1176,0.2174,0.0656,0.6427,0.688,0.0,0.202,99.0
0044,36,5,190.4,42,38.08,7.32,0.2782,0.038,0.1287,0.0737,0.0835,0.0,0.398,0.0,2.6475,24,0.6762,0.1735,0.119,0.1485,0.3148,0.5313,0.5998,0.0,1.9168,32.5972
0045,119,1,12.5,5,12.5,4.9329,0.608,0.0,0.0,0.0,0.0,0.392,0.0,0.0,1.309,4,0.608,0.0,0.0,0.0,0.1368,0.8632,0.6348,0.0,0.0,26.0
0046,3,9,251.68,45,27.9644,5.7225,0.5217,0.0939,0.1473,0.1265,0.0,0.0,0.0629,0.0079,3.0507,28,0.5926,0.1875,0.1111,0.1524,0.3254,0.4563,0.5141,0.0,0.4629,31.0
0047,0,45,1344.42,192,29.876,10.3526,0.46,0.0435,0.0309,0.3761,0.0322,0.0097,0.0,0.0097,2.98,52,0.4705,0.0938,0.0938,0.0938,0.0638,0.5537,0.727,0.0103,2.4011,22.2367
0048,47,2,21.18,8,10.59,5.6966,0.9103,0.0,0.0,0.0,0.0,0.0897,0.0,0.0,1.2602,5,0.9103,0.0897,0.125,0.1059,0.1619,0.4075,0.6331,0.0,0.6528,72.0
0049,24,9,606.09,72,67.3433,11.0399,0.1964,0.0739,0.2164,0.2051,0.1049,0.0,0.0489,0.0,3.4484,43,0.2833,0.087,0.0556,0.0726,0.1395,0.5166,0.6869,0.0,3.7036,27.2396
0050,26,3,93.9,9,31.3,8.1433,0.0176,0.2215,0.0,0.2444,0.0,0.0,0.0,0.0,1.851,8,0.0176,0.0,0.0,0.0,0.082,0.5357,0.6644,0.0,0.0,26.0
0051,1,38,908.1,213,23.8974,4.9336,0.3608,0.1556,0.1408,0.0731,0.0874,0.0044,0.0,0.0066,3.6319,57,0.3674,0.1414,0.1033,0.1239,0.3405,0.3919,0.5444,0.0,4.2913,28.0022
0052,1,51,3589.15,292,70.3755,8.1471,0.1733,0.2331,0.1635,0.1127,0.0164,0.1708,0.0,0.0161,4.1135,119,0.2067,0.3184,0.2637,0.2933,0.2985,0.4569,0.6044,0.0,6.4956,22.3489
0053,119,1,35.44,2,35.44,13.6308,0.7207,0.0,0.2793,0.0,0.0,0.0,0.0,0.0,0.5923,2,0.7207,0.2793,0.5,0.3806,0.0,1.0,0.9785,0.0,0.0,26.0
0054,119,1,54.29,3,54.29,37.3898,0.7283,0.1603,0.1114,0.0,0.0,0.0,0.0,0.0,0.7688,3,0.7283,0.2717,0.6667,0.453,0.0,0.8886,0.9327,0.0,0.0,26.0
0055,5,6,267.72,31,44.62,7.3447,0.2931,0.0983,0.2495,0.0,0.13,0.0448,0.1465,0.0,2.9084,29,0.4774,0.3317,0.2258,0.2831,0.2518,0.3472,0.5644,0.0,0.0531,113.0
0056,25,13,362.15,27,27.8577,9.5398,0.1643,0.1407,0.2159,0.0,0.0,0.3866,0.0,0.0,2.1826,18,0.1643,0.0748,0.1481,0.1085,0.2943,0.1949,0.5584,0.0,2.0491,26.7667
0057,2,7,196.3,26,28.0429,9.9287,0.1559,0.1488,0.0749,0.0601,0.2481,0.0,0.0,0.0,2.6621,17,0.2094,0.0963,0.0385,0.0697,0.32,0.4992,0.5937,0.0,6.8981,10.0
0058,7,6,245.83,32,40.9717,11.531,0.1272,0.2479,0.0674,0.1174,0.1111,0.0,0.0,0.0508,2.6442,20,0.2126,0.4382,0.2188,0.3375,0.4456,0.2916,0.5136,0.0,0.6956,54.1429
0059,106,2,13.84,4,6.92,6.7119,0.5527,0.0,0.2623,0.0,0.0,0.0,0.0,0.185,1.3712,4,0.7377,0.0,0.0,0.0,0.2486,0.4892,0.6695,0.0,0.0,26.0
0060,13,6,174.44,31,29.0733,6.4414,0.0827,0.2437,0.2608,0.3371,0.0,0.0757,0.0,0.0,2.7762,22,0.0827,0.3974,0.2903,0.3482,0.1668,0.5345,0.6114,0.0,2.6667,6.0
0061,0,18,629.82,117,34.99,7.2242,0.2604,0.1788,0.0919,0.1853,0.0506,0.023,0.0324,0.0223,3.5888,56,0.3151,0.415,0.2991,0.3618,0.174,0.583,0.6672,0.0,3.531,38.6725
0062,1,10,396.77,31,39.677,10.3463,0.2821,0.0,0.3052,0.0,0.0,0.2059,0.1569,0.0154,2.7202,24,0.4889,0.1028,0.129,0.1149,0.0938,0.5576,0.6341,0.0,8.8551,50.0
0063,118,2,35.07,7,17.535,4.6754,0.4611,0.0,0.0,0.0,0.4249,0.0,0.0,0.1141,1.5575,6,0.5751,0.0,0.0,0.0,0.0573,0.8158,0.7844,0.0,0.0,26.0
0064,15,10,454.39,58,45.439,6.8756,0.3587,0.1497,0.1114,0.1054,0.2295,0.0,0.0,0.018,2.9674,27,0.3934,0.2194,0.0862,0.1583,0.1594,0.6118,0.6626,0.0,7.5683,37.253
0065,54,2,55.25,9,27.625,7.2383,0.1587,0.0,0.0959,0.0,0.581,0.0,0.1643,0.0,1.8974,8,0.3231,0.3149,0.2222,0.2724,0.5969,0.3207,0.5214,0.0,0.0,26.0
0066,118,1,141.38,9,141.38,5.8591,0.0798,0.0,0.0,0.3169,0.4979,0.0,0.0,0.0,1.7787,8,0.0798,0.4909,0.4444,0.4696,0.0424,0.8522,0.8542,0.0,0.0,26.0
0067,6,3,134.3,13,44.7667,6.6564,0.0,0.2122,0.2599,0.2993,0.21,0.0186,0.0,0.0,1.7683,8,0.0,0.3902,0.4615,0.4229,0.1102,0.4847,0.6645,0.0,0.23,36.5
0068,1,8,623.93,62,77.9912,7.3013,0.0259,0.235,0.2327,0.1111,0.1598,0.1733,0.0368,0.0032,3.2064,39,0.0659,0.2457,0.1452,0.1996,0.3303,0.512,0.5806,0.0159,0.9627,45.9524
0069,118,1,88.3,10,88.3,8.83,0.0,0.6704,0.0,0.3296,0.0,0.0,0.0,0.0,2.1469,10,0.0,0.0,0.0,0.0,0.1291,0.4541,0.6815,0.0,0.0,26.0
0070,28,13,309.23,59,23.7869,7.3943,0.2355,0.0,0.0844,0.3211,0.0,0.0,0.141,0.1173,3.0121,27,0.5337,0.0569,0.0339,0.0464,0.1761,0.6005,0.7177,0.0,6.2065,18.5256
0071,84,4,184.46,35,46.115,5.7135,0.2353,0.4128,0.2892,0.0428,0.0,0.0,0.0,0.0198,2.983,26,0.2552,0.1039,0.1143,0.1087,0.2115,0.5712,0.6495,0.0,12.0235,14.6667
0072,79,6,935.53,59,155.9217,9.7525,0.2663,0.0052,0.2169,0.2577,0.0223,0.0,0.1452,0.0863,2.8735,29,0.4115,0.2306,0.0339,0.1403,0.0717,0.567,0.6809,0.0,9.2668,12.4048
0073,4,17,1097.39,112,64.5524,7.2151,0.158,0.311,0.0296,0.3626,0.0492,0.0822,0.0,0.0074,3.6673,54,0.158,0.1891,0.1964,0.1925,0.2282,0.4875,0.6023,0.0,3.5155,41.6232
0074,0,16,1678.37,117,104.8981,8.4128,0.0322,0.0587,0.1613,0.3066,0.2661,0.0518,0.0,0.0,3.7626,64,0.0322,0.1493,0.1197,0.1357,0.2035,0.6481,0.7031,0.0085,3.0568,38.165
0075,2,18,601.06,108,33.3922,7.9512,0.3958,0.1891,0.1915,0.0414,0.1188,0.0166,0.0132,0.0,3.3698,44,0.4094,0.2127,0.1481,0.183,0.1758,0.5063,0.6387,0.0092,0.5908,38.9963
0076,4,10,353.63,49,35.363,9.1236,0.0,0.3663,0.1849,0.056,0.3057,0.0,0.0,0.0,3.1032,32,0.0,0.0818,0.0816,0.0817,0.1287,0.6249,0.6877,0.0,7.3892,37.7381
0077,42,2,113.3,17,56.65,6.2944,0.0,0.8906,0.0653,0.0,0.0,0.0,0.0,0.0,2.3969,13,0.0,0.0653,0.1176,0.0893,0.1871,0.4669,0.5788,0.0,0.0,26.0
0078,26,14,923.1,63,65.9357,13.5118,0.1141,0.1798,0.0164,0.1373,0.3372,0.0823,0.067,0.0,3.2286,45,0.1811,0.1903,0.1587,0.1758,0.1882,0.6325,0.7353,0.0,1.2582,27.7
0079,115,3,26.89,6,8.9633,6.9376,0.0483,0.0,0.9517,0.0,0.0,0.0,0.0,0.0,1.6992,6,0.0483,0.3418,0.3333,0.3379,0.5169,0.0,0.3435,0.0,0.0,26.0
0080,118,1,199.4,9,199.4,8.3083,0.0,0.2648,0.5105,0.2247,0.0,0.0,0.0,0.0,1.593,7,0.0,0.0,0.0,0.0,0.0261,0.7798,0.8585,0.0,0.0,26.0
0081,0,47,996.47,129,21.2015,7.6291,0.2357,0.2432,0.2679,0.0778,0.0648,0.0,0.0,0.0,3.1435,38,0.2357,0.162,0.1085,0.1375,0.1968,0.4606,0.595,0.0,5.7396,21.1025
0082,26,2,99.34,9,49.67,3.2714,0.258,0.0,0.0,0.604,0.0,0.0,0.138,0.0,1.2791,6,0.396,0.604,0.1111,0.3778,0.6854,0.247,0.3155,0.0,0.2826,92.0
0083,111,2,89.85,13,44.925,9.0329,0.4001,0.296,0.1859,0.0545,0.0,0.0,0.0,0.0634,1.9045,11,0.4001,0.1213,0.0769,0.1009,0.2348,0.7018,0.6851,0.0,15.8571,7.0
0084,1,17,1458.63,107,85.8018,13.0887,0.061,0.0811,0.2594,0.2253,0.1844,0.0,0.1194,0.0,3.3923,50,0.1948,0.4325,0.2523,0.3498,0.0685,0.5405,0.6993,0.0,1.0222,40.2228
0085,41,3,108.29,8,36.0967,15.1306,0.1301,0.181,0.1441,0.5448,0.0,0.0,0.0,0.0,1.5288,8,0.1301,0.5448,0.125,0.3521,0.0351,0.651,0.7665,0.0,0.0,26.0
0086,11,4,265.76,14,66.44,6.9216,0.0589,0.2039,0.2009,0.3676,0.0711,0.0,0.0,0.0,2.3493,14,0.0589,0.4207,0.2143,0.3259,0.2652,0.6385,0.6335,0.0,0.0,26.0
0087,3,19,899.26,86,47.3295,7.8786,0.0571,0.1421,0.4001,0.2121,0.0683,0.0,0.0,0.0056,3.2807,47,0.0627,0.0943,0.0349,0.067,0.1416,0.4768,0.5995,0.0,0.8152,45.6157
0088,47,7,364.61,35,52.0871,9.6873,0.4498,0.0617,0.0,0.1805,0.0,0.2962,0.0,0.0118,2.4117,19,0.4616,0.166,0.2,0.1816,0.1288,0.6779,0.7176,0.0,3.6903,30.881
0089,118,1,26.5,5,26.5,5.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.512,5,0.0,0.0,0.0,0.0,0.5623,0.0,0.3788,0.0,0.0,26.0
0090,27,6,524.52,51,87.42,9.3457,0.0573,0.1054,0.1482,0.0423,0.2661,0.0505,0.2903,0.0,2.9338,35,0.3475,0.1907,0.1961,0.1931,0.3457,0.4335,0.5546,0.0,4.9512,28.125
0091,1,18,1148.17,107,63.7872,7.877,0.4542,0.1387,0.048,0.1454,0.1529,0.0,0.0028,0.0,3.2297,52,0.4711,0.1548,0.1215,0.1395,0.2828,0.445,0.5703,0.0,4.5165,26.5056
0092,7,32,1346.52,142,42.0788,10.4517,0.6401,0.0527,0.134,0.0307,0.0322,0.0221,0.0488,0.035,2.7084,41,0.6927,0.0267,0.0282,0.0274,0.1169,0.3036,0.5328,0.0,11.8418,22.9925
0093,4,28,872.96,137,31.1771,5.4211,0.3582,0.1561,0.1307,0.219,0.0135,0.0,0.0322,0.0476,3.2076,36,0.4308,0.0926,0.0511,0.0735,0.2779,0.4985,0.6427,0.0072,8.3438,26.8031
0094,32,5,394.7,38,78.94,10.3868,0.0,0.3691,0.0195,0.0175,0.3884,0.1464,0.0,0.0,3.134,31,0.0,0.0099,0.0263,0.0174,0.2795,0.5941,0.6536,0.0,30.5345,15.5
0095,1,16,212.99,43,13.3119,6.2305,0.3031,0.0,0.2503,0.3472,0.0977,0.0,0.0,0.0,2.9474,27,0.3048,0.2179,0.186,0.2033,0.22,0.3197,0.536,0.0,1.5029,33.1556
0096,91,4,73.82,15,18.455,5.1392,0.0247,0.7464,0.0068,0.0,0.1477,0.0745,0.0,0.0,2.2999,14,0.0247,0.0,0.0,0.0,0.3118,0.4348,0.5604,0.0,3.3704,27.0
0097,118,1,7.11,3,7.11,3.1488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5942,2,0.0,0.0,0.0,0.0,0.2813,0.7187,0.7066,0.0,0.0,26.0
0098,118,1,22.7,3,22.7,7.5667,0.0,0.348,0.0,0.0,0.652,0.0,0.0,0.0,1.0966,3,0.0,0.0,0.0,0.0,0.652,0.0,0.3094,0.0,0.0,26.0
0099,6,4,304.94,14,76.235,8.0387,0.0022,0.0239,0.0,0.0864,0.2378,0.6139,0.0,0.0164,1.7806,13,0.0022,0.0536,0.1429,0.0946,0.1181,0.8604,0.8108,0.0,0.5455,11.0
0100,118,1,44.72,2,44.72,13.7178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145,2,1.0,0.0,0.0,0.0,0.0,0.6957,0.6929,0.0,0.0,26.0
0101,118,1,21.9,4,21.9,6.5608,0.0,0.2237,0.3014,0.0,0.4749,0.0,0.0,0.0,1.246,4,0.0,0.3014,0.25,0.2778,0.0685,0.0,0.5606,0.0,0.0,26.0
0102,3,21,567.55,89,27.0262,9.4324,0.372,0.1584,0.0688,0.1395,0.0936,0.0611,0.0184,0.0035,3.4293,45,0.394,0.1991,0.1348,0.1696,0.1419,0.5269,0.6625,0.0,4.3416,23.6419
0103,31,4,171.16,17,42.79,8.5486,0.6733,0.2033,0.0538,0.0696,0.0,0.0,0.0,0.0,1.4105,12,0.6733,0.0,0.0,0.0,0.3019,0.0624,0.4412,0.0,1.4352,44.5
0104,31,6,210.07,17,35.0117,10.999,0.1468,0.1879,0.1276,0.0757,0.0,0.0,0.462,0.0,2.1134,14,0.6088,0.2636,0.2353,0.2506,0.0698,0.6518,0.792,0.0,0.7926,52.5
0105,2,22,699.15,117,31.7795,7.1652,0.3548,0.1156,0.1123,0.1125,0.0812,0.1651,0.048,0.0,3.2721,44,0.41,0.037,0.0256,0.0318,0.2411,0.6517,0.6333,0.0,3.0731,15.1731
0106,5,12,406.17,48,33.8475,10.7464,0.0822,0.0992,0.2356,0.1265,0.099,0.0,0.1164,0.0,3.1609,38,0.2259,0.0608,0.0625,0.0616,0.1891,0.6289,0.6971,0.0,4.083,38.6875
0107,29,7,760.86,36,108.6943,9.2761,0.0216,0.2601,0.1208,0.3369,0.1095,0.0117,0.0,0.02,2.7709,31,0.0416,0.2817,0.1667,0.2289,0.2879,0.6113,0.6677,0.0,0.6212,66.0
0108,3,26,2349.22,173,90.3546,10.5011,0.1586,0.0695,0.1692,0.0674,0.0685,0.1873,0.0,0.0277,3.5033,78,0.1771,0.1203,0.1156,0.1182,0.307,0.4174,0.6108,0.017,3.389,33.782
0109,61,2,98.3,10,49.15,4.9636,0.0548,0.4141,0.0,0.3042,0.1007,0.1261,0.0,0.0,1.9758,9,0.0548,0.4557,0.4,0.4302,0.359,0.641,0.6614,0.0,0.0,26.0
0110,100,3,103.12,14,34.3733,10.035,0.395,0.1252,0.2083,0.0766,0.0,0.0184,0.0,0.0989,2.2049,12,0.395,0.1355,0.2143,0.1716,0.1808,0.5646,0.6559,0.0,100.0,1.0
0111,10,2,180.28,8,90.14,13.0128,0.3418,0.0,0.0,0.3572,0.0,0.0,0.301,0.0,1.6274,7,0.6428,0.0,0.0,0.0,0.099,0.832,0.8088,0.0,0.0,26.0
0112,118,1,44.39,4,44.39,9.2076,0.1304,0.0,0.3312,0.4032,0.0,0.1352,0.0,0.0,1.2684,4,0.1304,0.0,0.0,0.0,0.1304,0.8696,0.7382,0.0,0.0,26.0
0113,0,23,705.38,82,30.6687,9.096,0.3483,0.069,0.0432,0.2726,0.0252,0.136,0.0024,0.0,2.8948,36,0.3507,0.1367,0.1707,0.1523,0.1764,0.5427,0.6593,0.0,0.8784,22.0676
0114,98,2,188.29,17,94.145,7.5746,0.017,0.1495,0.0815,0.2602,0.0366,0.1726,0.264,0.0,2.0297,15,0.281,0.3861,0.2353,0.3169,0.2328,0.4019,0.5321,0.0,0.0,26.0
0115,26,5,133.03,13,26.606,9.5739,0.6601,0.0428,0.0872,0.0,0.0,0.0,0.1761,0.0,1.8001,9,0.8361,0.0,0.0,0.0,0.0374,0.7887,0.7903,0.0,7.8706,13.5
0116,118,1,112.6,2,112.6,4.6917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.4352,0.5,0.4649,0.5648,0.0,0.2755,0.0,0.0,26.0
0117,1,6,312.43,19,52.0717,12.8266,0.085,0.0125,0.0,0.2047,0.3502,0.0,0.3315,0.0,2.2071,15,0.4326,0.2455,0.1053,0.1811,0.2155,0.74,0.7208,0.0,2.6108,54.5
0118,43,10,349.34,28,34.934,10.0547,0.1444,0.0532,0.3996,0.1305,0.136,0.1363,0.0,0.0,2.8472,22,0.1444,0.2905,0.2857,0.2883,0.2089,0.5813,0.6752,0.0,1.2239,45.6667
0119,4,9,735.84,64,81.76,8.7087,0.0422,0.1799,0.2484,0.1275,0.1348,0.2123,0.0549,0.0,3.2832,41,0.0971,0.2096,0.1406,0.1779,0.2419,0.5338,0.6312,0.0,1.9673,49.5
0120,118,1,58.37,3,58.37,4.404,0.0464,0.0,0.0,0.9536,0.0,0.0,0.0,0.0,0.5371,3,0.0464,0.8395,0.3333,0.6072,0.1141,0.0464,0.394,0.0,0.0,26.0
